n,p,lambda,rho,s,i,r,mu,t
10000,0.0005,1.0084,4,1.0,0.0001,-0.0001,5,0
10000,0.0005,1.0084,4,1.0,0.0001,-0.0001,5,0.01331028027105679
10000,0.0005,1.0084,4,1.0,0.0001,-0.0001,5,0.03364106920721752
10000,0.0005,1.0084,4,1.0,0.0002,-0.0002,5,0.03758116946618716
10000,0.0005,1.0084,4,1.0,0.0002,-0.0002,5,0.046527291551852035
10000,0.0005,1.0084,4,1.0,0.0003,-0.0003,5,0.07253655489611131
10000,0.0005,1.0084,4,1.0,0.0004,-0.0004,5,0.09077257095352521
10000,0.0005,1.0084,4,1.0,0.0005,-0.0005,5,0.11292964817861494
10000,0.0005,1.0084,4,1.0,0.0005,-0.0005,5,0.14915711859073733
10000,0.0005,1.0084,4,1.0,0.0005,-0.0005,4.98289144572284,0.15110704943886227
10000,0.0005,1.0084,4,1.0,0.0005,-0.0005,4.98289144572284,0.15839092706349872
10000,0.0005,1.0084,4,1.0,0.0005,-0.0005,4.98289144572284,0.1756894366567378
10000,0.0005,1.0084,4,1.0,0.0005,-0.0005,4.98289144572284,0.181431758513536
10000,0.0005,1.0084,4,1.0,0.0005,-0.0005,4.98289144572284,0.1888847089210091
10000,0.0005,1.0084,4,1.0,0.0005,-0.0005,4.98289144572284,0.24129256198961124
10000,0.0005,1.0084,4,1.0,0.0005,-0.0005,4.98289144572284,0.2983755240300816
10000,0.0005,1.0084,4,1.0,0.0006,-0.0006,4.98289144572284,0.3552014460186255
10000,0.0005,1.0084,4,1.0,0.0007,-0.0007,4.98289144572284,0.3632604066738125
10000,0.0005,1.0084,4,1.0,0.0007,-0.0007,4.98289144572284,0.3753780898292915
10000,0.0005,1.0084,4,1.0,0.0007,-0.0007,4.9831882317623695,0.41398123953359567
10000,0.0005,1.0084,4,1.0,0.0007,-0.0007,4.9831882317623695,0.41509138794250927
10000,0.0005,1.0084,4,1.0,0.0007,-0.0007,4.9831882317623695,0.42002340673482536
10000,0.0005,1.0084,4,1.0,0.0007,-0.0007,4.9831882317623695,0.4794964516138696
10000,0.0005,1.0084,4,1.0,0.0007,-0.0007,4.9831882317623695,0.49388324130615413
10000,0.0005,1.0084,4,1.0,0.0007,-0.0007,4.9831882317623695,0.5099048758450366
10000,0.0005,1.0084,4,1.0,0.0007,-0.0007,4.9831882317623695,0.5441304489262864
10000,0.0005,1.0084,4,1.0,0.0007,-0.0007,4.9831882317623695,0.56134638565222
10000,0.0005,1.0084,4,1.0,0.0007,-0.0007,4.9831882317623695,0.5827242689305627
10000,0.0005,1.0084,4,1.0,0.0008,-0.0008,4.9831882317623695,0.624940468976411
10000,0.0005,1.0084,4,1.0,0.0009,-0.0009,4.983785406866447,0.6441071396286313
10000,0.0005,1.0084,4,1.0,0.0009,-0.0009,4.983785406866447,0.6565606404960805
10000,0.0005,1.0084,4,1.0,0.001,-0.001,4.983785406866447,0.6776047730795282
10000,0.0005,1.0084,4,1.0,0.001,-0.001,4.983785406866447,0.695813859973565
10000,0.0005,1.0084,4,1.0,0.001,-0.001,4.983785406866447,0.7267111185429582
10000,0.0005,1.0084,4,1.0,0.001,-0.001,4.983785406866447,0.7341811203419483
10000,0.0005,1.0084,4,1.0,0.001,-0.001,4.983785406866447,0.7509977923297203
10000,0.0005,1.0084,4,1.0,0.0011,-0.0011,4.983785406866447,0.794395398946146
