n,p,lambda,rho,s,i,r,mu,t
10000,0.0005,2,0,1.0,0.0001,-0.0001,5,0
10000,0.0005,2,0,1.0,0.0002,-0.0002,5,0.00039980579133334134
10000,0.0005,2,0,1.0,0.0003,-0.0003,5,0.0046111776763765825
10000,0.0005,2,0,1.0,0.0004,-0.0004,5,0.027629024926508892
10000,0.0005,2,0,1.0,0.0005,-0.0005,5,0.05929248318858428
10000,0.0005,2,0,1.0,0.0006,-0.0006,5,0.09658122688940073
10000,0.0005,2,0,1.0,0.0007,-0.0007,5,0.10339402411300337
10000,0.0005,2,0,1.0,0.0008,-0.0008,5,0.1199779774443942
10000,0.0005,2,0,1.0,0.0009,-0.0009,5,0.12760314931845262
10000,0.0005,2,0,1.0,0.001,-0.001,5.00710710710711,0.1516636644975912
10000,0.0005,2,0,1.0,0.0011,-0.0011,5.00710710710711,0.16174283338979503
10000,0.0005,2,0,1.0,0.0012,-0.0012,5.00710710710711,0.16439163614708738
10000,0.0005,2,0,1.0,0.0013,-0.0013,5.00710710710711,0.17800019050185156
10000,0.0005,2,0,1.0,0.0014,-0.0014,5.00710710710711,0.1832229485579854
10000,0.0005,2,0,1.0,0.0015,-0.0015,5.00710710710711,0.18416263111926923
10000,0.0005,2,0,1.0,0.0016,-0.0016,5.00710710710711,0.19364211258903416
10000,0.0005,2,0,1.0,0.0017,-0.0017,5.00710710710711,0.21706037015259397
10000,0.0005,2,0,1.0,0.0018,-0.0018,5.00710710710711,0.21723936409956873
10000,0.0005,2,0,1.0,0.0019,-0.0019,5.00710710710711,0.21773576461266236
10000,0.0005,2,0,1.0,0.002,-0.002,5.006412825651126,0.2220455884593324
10000,0.0005,2,0,1.0,0.0021,-0.0021,5.006412825651126,0.22384720259943086
10000,0.0005,2,0,1.0,0.0022,-0.0022,5.006412825651126,0.22448227492371217
10000,0.0005,2,0,1.0,0.0023,-0.0023,5.006412825651126,0.2275317507298011
10000,0.0005,2,0,1.0,0.0024,-0.0024,5.006412825651126,0.22980436397341
10000,0.0005,2,0,1.0,0.0025,-0.0025,5.006412825651126,0.2336378161185298
10000,0.0005,2,0,1.0,0.0026,-0.0026,5.006412825651126,0.2410064967444746
10000,0.0005,2,0,1.0,0.0027,-0.0027,5.006412825651126,0.2471075507747815
10000,0.0005,2,0,1.0,0.0028,-0.0028,5.006412825651126,0.2542982750014753
10000,0.0005,2,0,1.0,0.0029,-0.0029,5.006412825651126,0.2544333282545562
10000,0.0005,2,0,1.0,0.003,-0.003,5.0052156469408065,0.25570386496899766
10000,0.0005,2,0,1.0,0.0031,-0.0031,5.0052156469408065,0.26726655345612
10000,0.0005,2,0,1.0,0.0032,-0.0032,5.0052156469408065,0.26732478728229686
10000,0.0005,2,0,1.0,0.0033,-0.0033,5.0052156469408065,0.2694019332810364
10000,0.0005,2,0,1.0,0.0034,-0.0034,5.0052156469408065,0.27496894156898577
10000,0.0005,2,0,1.0,0.0035,-0.0035,5.0052156469408065,0.2751662888993603
10000,0.0005,2,0,1.0,0.0036,-0.0036,5.0052156469408065,0.2769287591129259
10000,0.0005,2,0,1.0,0.0037,-0.0037,5.0052156469408065,0.27835792440181334
10000,0.0005,2,0,1.0,0.0038,-0.0038,5.0052156469408065,0.27987703670378705
10000,0.0005,2,0,1.0,0.0039,-0.0039,5.0052156469408065,0.2872507486916315
10000,0.0005,2,0,1.0,0.004,-0.004,5.003313253011899,0.2924329440577495
10000,0.0005,2,0,1.0,0.0041,-0.0041,5.003313253011899,0.29511448752903074
10000,0.0005,2,0,1.0,0.0042,-0.0042,5.003313253011899,0.2973857627629602
10000,0.0005,2,0,1.0,0.0043,-0.0043,5.003313253011899,0.2986695181501694
10000,0.0005,2,0,1.0,0.0044,-0.0044,5.003313253011899,0.2998966788019268
10000,0.0005,2,0,1.0,0.0045,-0.0045,5.003313253011899,0.3033659545889568
10000,0.0005,2,0,1.0,0.0046,-0.0046,5.003313253011899,0.3072949709884708
10000,0.0005,2,0,1.0,0.0047,-0.0047,5.003313253011899,0.3107673272237618
10000,0.0005,2,0,1.0,0.0048,-0.0048,5.003313253011899,0.3125612226688569
10000,0.0005,2,0,1.0,0.0049,-0.0049,5.003313253011899,0.31622803941412736
10000,0.0005,2,0,1.0,0.005,-0.005,5.001608040201309,0.3171915007805649
10000,0.0005,2,0,1.0,0.0051,-0.0051,5.001608040201309,0.31775525851511144
10000,0.0005,2,0,1.0,0.0052,-0.0052,5.001608040201309,0.3186255724206534
10000,0.0005,2,0,1.0,0.0053,-0.0053,5.001608040201309,0.319151807369768
10000,0.0005,2,0,1.0,0.0054,-0.0054,5.001608040201309,0.3193431878146403
10000,0.0005,2,0,1.0,0.0055,-0.0055,5.001608040201309,0.3223077977056591
10000,0.0005,2,0,1.0,0.0056,-0.0056,5.001608040201309,0.32620818392438355
10000,0.0005,2,0,1.0,0.0057,-0.0057,5.001608040201309,0.33125872413744845
10000,0.0005,2,0,1.0,0.0058,-0.0058,5.001608040201309,0.33141635715984064
10000,0.0005,2,0,1.0,0.0059,-0.0059,5.001608040201309,0.3335086945880925
10000,0.0005,2,0,1.0,0.006,-0.006,5.000000000000155,0.33478834900009025
10000,0.0005,2,0,1.0,0.0061,-0.0061,5.000000000000155,0.33671630820459875
10000,0.0005,2,0,1.0,0.0062,-0.0062,5.000000000000155,0.33720512826653976
