n,p,lambda,rho,s,i,r,mu,t
10000,0.0005,2,4,1.0,0.0001,-0.0001,5,0
10000,0.0005,2,4,1.0,0.0002,-0.0002,5,0.13190990154275256
10000,0.0005,2,4,1.0,0.0003,-0.0003,5,0.18318258614175054
10000,0.0005,2,4,1.0,0.0004,-0.0004,5,0.1940896088438944
10000,0.0005,2,4,1.0,0.0004,-0.0004,5,0.22919469681906693
10000,0.0005,2,4,1.0,0.0004,-0.0004,5,0.23003408528788144
10000,0.0005,2,4,1.0,0.0004,-0.0004,5,0.23296072801327228
10000,0.0005,2,4,1.0,0.0004,-0.0004,5,0.23575622774954696
10000,0.0005,2,4,1.0,0.0004,-0.0004,5,0.24734508372432876
10000,0.0005,2,4,1.0,0.0004,-0.0004,5.033713485394156,0.25866352917205415
10000,0.0005,2,4,1.0,0.0005,-0.0005,5.033713485394156,0.26092743548296543
10000,0.0005,2,4,1.0,0.0005,-0.0005,5.033713485394156,0.26845873091501876
10000,0.0005,2,4,1.0,0.0006,-0.0006,5.033713485394156,0.2712804362069232
10000,0.0005,2,4,1.0,0.0006,-0.0006,5.033713485394156,0.28038766663934667
10000,0.0005,2,4,1.0,0.0007,-0.0007,5.033713485394156,0.28767310103511734
10000,0.0005,2,4,1.0,0.0007,-0.0007,5.033713485394156,0.2902594035129857
10000,0.0005,2,4,1.0,0.0007,-0.0007,5.033713485394156,0.3254923988832981
10000,0.0005,2,4,1.0,0.0007,-0.0007,5.033713485394156,0.3292450204128958
10000,0.0005,2,4,1.0,0.0007,-0.0007,5.033713485394156,0.3300352901704075
10000,0.0005,2,4,1.0,0.0007,-0.0007,5.033523466426612,0.36247093630256544
10000,0.0005,2,4,1.0,0.0007,-0.0007,5.033523466426612,0.3682145863238913
10000,0.0005,2,4,1.0,0.0007,-0.0007,5.033523466426612,0.38965076908284724
10000,0.0005,2,4,1.0,0.0007,-0.0007,5.033523466426612,0.40359452077017854
10000,0.0005,2,4,1.0,0.0007,-0.0007,5.033523466426612,0.41025102646087747
10000,0.0005,2,4,1.0,0.0007,-0.0007,5.033523466426612,0.4215737524458805
10000,0.0005,2,4,1.0,0.0008,-0.0008,5.033523466426612,0.43735128468478907
10000,0.0005,2,4,1.0,0.0009,-0.0009,5.033523466426612,0.4539744359258123
10000,0.0005,2,4,1.0,0.0009,-0.0009,5.033523466426612,0.45483061367270283
10000,0.0005,2,4,1.0,0.001,-0.001,5.033523466426612,0.4650835093096043
10000,0.0005,2,4,1.0,0.001,-0.001,5.034034034034045,0.47000462015825073
10000,0.0005,2,4,1.0,0.001,-0.001,5.034034034034045,0.47227203865136674
10000,0.0005,2,4,1.0,0.001,-0.001,5.034034034034045,0.4750309568212852
10000,0.0005,2,4,1.0,0.001,-0.001,5.034034034034045,0.4871265918586799
10000,0.0005,2,4,1.0,0.0011,-0.0011,5.034034034034045,0.48817797892609477
10000,0.0005,2,4,1.0,0.0011,-0.0011,5.034034034034045,0.4950499874079214
10000,0.0005,2,4,1.0,0.0012,-0.0012,5.034034034034045,0.4961232121197725
10000,0.0005,2,4,1.0,0.0013,-0.0013,5.034034034034045,0.5053979505637539
10000,0.0005,2,4,1.0,0.0013,-0.0013,5.034034034034045,0.5126498573208708
10000,0.0005,2,4,1.0,0.0013,-0.0013,5.034034034034045,0.5128871449194508
10000,0.0005,2,4,1.0,0.0014,-0.0014,5.033847386341451,0.5192040028378251
10000,0.0005,2,4,1.0,0.0014,-0.0014,5.033847386341451,0.5215715925918848
10000,0.0005,2,4,1.0,0.0014,-0.0014,5.033847386341451,0.5218080521498064
10000,0.0005,2,4,1.0,0.0015,-0.0015,5.033847386341451,0.5337929979932081
10000,0.0005,2,4,1.0,0.0016,-0.0016,5.033847386341451,0.5343293202428973
10000,0.0005,2,4,1.0,0.0017,-0.0017,5.033847386341451,0.5344145375239122
10000,0.0005,2,4,1.0,0.0018,-0.0018,5.033847386341451,0.5356604073349247
10000,0.0005,2,4,1.0,0.0019,-0.0019,5.033847386341451,0.5358211535939389
10000,0.0005,2,4,1.0,0.002,-0.002,5.033847386341451,0.5395423954720235
10000,0.0005,2,4,1.0,0.002,-0.002,5.033847386341451,0.5400307489867361
10000,0.0005,2,4,1.0,0.002,-0.002,5.03276553106192,0.541202398854934
10000,0.0005,2,4,1.0,0.0021,-0.0021,5.03276553106192,0.5431007324997105
10000,0.0005,2,4,1.0,0.0021,-0.0021,5.03276553106192,0.5453287181093137
10000,0.0005,2,4,1.0,0.0021,-0.0021,5.03276553106192,0.5507300572952937
10000,0.0005,2,4,1.0,0.0022,-0.0022,5.03276553106192,0.5508617416082714
10000,0.0005,2,4,1.0,0.0022,-0.0022,5.03276553106192,0.5518793904911675
10000,0.0005,2,4,1.0,0.0022,-0.0022,5.03276553106192,0.5556438524000235
10000,0.0005,2,4,1.0,0.0022,-0.0022,5.03276553106192,0.5588725159036413
10000,0.0005,2,4,1.0,0.0023,-0.0023,5.03276553106192,0.5590016729021855
10000,0.0005,2,4,1.0,0.0023,-0.0023,5.03276553106192,0.5615190259593187
10000,0.0005,2,4,1.0,0.0024,-0.0024,5.032778668805314,0.5622019997917201
10000,0.0005,2,4,1.0,0.0024,-0.0024,5.032778668805314,0.5666285272075742
10000,0.0005,2,4,1.0,0.0024,-0.0024,5.032778668805314,0.5682754921917008
10000,0.0005,2,4,1.0,0.0025,-0.0025,5.032778668805314,0.5685220332884845
10000,0.0005,2,4,1.0,0.0025,-0.0025,5.032778668805314,0.569406320348642
10000,0.0005,2,4,1.0,0.0026,-0.0026,5.032778668805314,0.5712502638319847
10000,0.0005,2,4,1.0,0.0026,-0.0026,5.032778668805314,0.5717287640580545
10000,0.0005,2,4,1.0,0.0026,-0.0026,5.032778668805314,0.571917170687163
10000,0.0005,2,4,1.0,0.0027,-0.0027,5.032778668805314,0.5721043312502315
10000,0.0005,2,4,1.0,0.0027,-0.0027,5.032778668805314,0.5754971611133379
10000,0.0005,2,4,1.0,0.0028,-0.0028,5.033393501805157,0.5765658591496651
10000,0.0005,2,4,1.0,0.0028,-0.0028,5.033393501805157,0.5779261216421532
10000,0.0005,2,4,1.0,0.0028,-0.0028,5.033393501805157,0.5829239051221223
10000,0.0005,2,4,1.0,0.0029,-0.0029,5.033393501805157,0.5834636830992885
10000,0.0005,2,4,1.0,0.0029,-0.0029,5.033393501805157,0.5857489175265094
10000,0.0005,2,4,1.0,0.0029,-0.0029,5.033393501805157,0.5887195128917516
10000,0.0005,2,4,1.0,0.0029,-0.0029,5.033393501805157,0.5894811584802547
10000,0.0005,2,4,1.0,0.0029,-0.0029,5.033393501805157,0.5895683855595445
10000,0.0005,2,4,1.0,0.003,-0.003,5.033393501805157,0.5928757117064873
10000,0.0005,2,4,1.0,0.003,-0.003,5.033393501805157,0.5944750998976627
