n,p,lambda,rho,s,i,r,t,mu
10000,0.0005,1.25,4,9998,2,0,0.03669724770642202,4.9605960596056775
10000,0.0005,1.25,4,9998,2,0,0.06250369931932524,4.9605960596056775
10000,0.0005,1.25,4,9998,2,0,0.09235444558798196,4.9605960596056775
10000,0.0005,1.25,4,9998,1,1,0.12775267567647752,4.9605960596056775
10000,0.0005,1.25,4,9998,1,1,0.21470919741560796,4.9605960596056775
10000,0.0005,1.25,4,9997,2,1,0.37470919741560793,4.9605960596056775
10000,0.0005,1.25,4,9996,3,1,0.40051564902851117,4.9605960596056775
10000,0.0005,1.25,4,9996,2,2,0.41853366704652917,4.9605960596056775
10000,0.0005,1.25,4,9996,2,2,0.4368822908997402,4.9605960596056775
10000,0.0005,1.25,4,9995,3,2,0.45718685942765896,4.9605960596056775
10000,0.0005,1.25,4,9994,4,2,0.46941927532979966,4.960480240120014
10000,0.0005,1.25,4,9994,4,2,0.4771115830221073,4.960480240120014
10000,0.0005,1.25,4,9994,4,2,0.4851276150862356,4.960480240120014
10000,0.0005,1.25,4,9994,4,2,0.4934958159230557,4.960480240120014
10000,0.0005,1.25,4,9994,4,2,0.502248551152815,4.960480240120014
10000,0.0005,1.25,4,9994,4,2,0.5114228630794204,4.960480240120014
10000,0.0005,1.25,4,9994,4,2,0.5210614172962879,4.960480240120014
10000,0.0005,1.25,4,9994,3,3,0.5312137015602473,4.960480240120014
10000,0.0005,1.25,4,9994,3,3,0.5452487892795456,4.960480240120014
10000,0.0005,1.25,4,9994,3,3,0.5604003044310607,4.960480240120014
10000,0.0005,1.25,4,9994,3,3,0.576861209780855,4.960676405843363
10000,0.0005,1.25,4,9994,3,3,0.594879227798873,4.960676405843363
10000,0.0005,1.25,4,9994,3,3,0.6147797253113109,4.960676405843363
10000,0.0005,1.25,4,9993,4,3,0.6370019475335331,4.960676405843363
10000,0.0005,1.25,4,9993,4,3,0.6508427779833601,4.960676405843363
10000,0.0005,1.25,4,9992,5,3,0.6657681511176885,4.960676405843363
10000,0.0005,1.25,4,9992,5,3,0.6777084496251512,4.960676405843363
10000,0.0005,1.25,4,9992,5,3,0.6904473031283359,4.960676405843363
10000,0.0005,1.25,4,9992,5,3,0.7040991802614417,4.960676405843363
10000,0.0005,1.25,4,9992,5,3,0.7188050626143828,4.960676405843363
10000,0.0005,1.25,4,9992,5,3,0.7347413175944625,4.96126901521212
