n,p,lambd,rho,s,diam
326,0,1,10,0.9079754601226994,41
1000,0,1,12.09845296629256,0.92,78
1000,0,1,89.3942102521756,0.991,93
844,0,1,10,0.9218009478672986,101
1000,0,1,39.144650706196316,0.967,73
207,0,1,10,0.927536231884058,39
170,0,1,10,0.9,25
1000,0,1,61.64157615023584,0.981,82
2099,0,1,10,0.896141019533111,92
1000,0,1,32.6878334642326,0.979,65
524,0,1,10,0.9064885496183206,48
1000,0,1,17.44341861584968,0.936,62
1000,0,1,14.680511488269287,0.925,130
1000,0,1,69.27106529383515,0.982,89
1294,0,1,10,0.884853168469861,94
1000,0,1,74.44869376881816,0.986,101
1172,0,1,10,0.9197952218430034,46
1000,0,1,83.20590334793955,0.993,101
2812,0,1,10,0.903271692745377,89
1000,0,1,60.714982761221336,0.976,90
1355,0,1,10,0.8819188191881919,91
327,0,1,10,0.9113149847094801,39
1000,0,1,62.36938693897206,0.982,74
1696,0,1,10,0.8956367924528302,102
2685,0,1,10,0.9054003724394786,126
2916,0,1,10,0.8998628257887518,125
2855,0,1,10,0.9050788091068301,143
2716,0,1,10,0.9108983799705449,134
2762,0,1,10,0.9000724112961622,149
1666,0,1,10,0.8997599039615847,129
1000,0,1,2.472505487785781,0.557,87
2469,0,1,10,0.903199675982179,128
1000,0,1,17.206394896406085,0.951,89
1187,0,1,10,0.8795282224094355,75
2194,0,1,10,0.9079307201458523,163
495,0,1,10,0.8808080808080808,80
1890,0,1,10,0.9,93
499,0,1,10,0.8837675350701403,42
1000,0,1,6.613700265387923,0.852,80
2404,0,1,10,0.8847753743760399,142
1000,0,1,19.121879366629145,0.949,85
2478,0,1,10,0.8958837772397095,92
1823,0,1,10,0.8952276467361492,131
2048,0,1,10,0.9052734375,102
2012,0,1,10,0.9040755467196819,114
2691,0,1,10,0.8888888888888888,134
2205,0,1,10,0.909297052154195,88
1400,0,1,10,0.9,89
1000,0,1,15.183155284290862,0.947,65
1000,0,1,8.170907220187374,0.888,83
2957,0,1,10,0.9056476158268515,114
2592,0,1,10,0.9020061728395061,179
136,0,1,10,0.8676470588235294,22
1000,0,1,34.38982537174886,0.983,83
1000,0,1,20.828082312282024,0.962,53
1711,0,1,10,0.9064874342489772,107
2756,0,1,10,0.895500725689405,152
1000,0,1,6.675013361956883,0.87,44
531,0,1,10,0.8926553672316384,58
2221,0,1,10,0.9027465105808195,101
1000,0,1,27.099041712960936,0.97,69
2111,0,1,10,0.8981525343439128,115
1000,0,1,33.04087406950178,0.966,92
1000,0,1,52.52832044047822,0.975,81
471,0,1,10,0.8895966029723992,41
1000,0,1,86.70876390546837,0.988,90
1000,0,1,8.293947143583102,0.877,82
1477,0,1,10,0.8835477318889641,101
906,0,1,10,0.8951434878587197,75
1319,0,1,10,0.8961334344200151,88
1000,0,1,26.49113828399995,0.955,66
1000,0,1,43.842669722466674,0.985,99
1000,0,1,21.340781249771158,0.949,71
1000,0,1,24.171040670525233,0.95,70
1000,0,1,79.27044618232843,0.981,70
1000,0,1,29.047546743473074,0.967,69
1251,0,1,10,0.8968824940047961,63
2773,0,1,10,0.8975838442120447,162
1000,0,1,2.3025553526388354,0.543,58
1983,0,1,10,0.8900655572365104,71
560,0,1,10,0.9089285714285714,42
1000,0,1,70.0740562554777,0.988,87
1000,0,1,83.61228305966655,0.987,89
1000,0,1,42.21862477065146,0.986,85
1000,0,1,45.44231300929626,0.975,101
1000,0,1,81.97001131020099,0.992,109
2710,0,1,10,0.9011070110701107,163
1000,0,1,6.052044536022261,0.834,60
523,0,1,10,0.8833652007648184,41
312,0,1,10,0.8846153846153846,44
2259,0,1,10,0.9039397963700753,101
1000,0,1,64.1370753962755,0.99,64
1998,0,1,10,0.8908908908908909,102
1464,0,1,10,0.89275956284153,106
2880,0,1,10,0.9052083333333333,152
1000,0,1,6.02645662126039,0.845,66
2432,0,1,10,0.9087171052631579,161
47,0,1,10,0.9148936170212766,20
2184,0,1,10,0.8946886446886447,119
1000,0,1,50.91975754048909,0.98,81
1000,0,1,81.89744298869478,0.985,66
971,0,1,10,0.90216271884655,86
1000,0,1,44.344315126903425,0.972,90
10,0,1,10,0.9,4
2016,0,1,10,0.9037698412698413,122
1000,0,1,41.215829648407635,0.978,80
1064,0,1,10,0.9041353383458647,90
1000,0,1,61.3056754464861,0.985,85
811,0,1,10,0.9136868064118372,87
2230,0,1,10,0.8887892376681614,87
2675,0,1,10,0.8990654205607477,118
1000,0,1,25.14326946741229,0.963,66
1000,0,1,15.245662526889436,0.931,55
1000,0,1,59.5884099109674,0.991,120
951,0,1,10,0.9116719242902208,62
607,0,1,10,0.8945634266886326,55
1000,0,1,8.335365169008735,0.862,76
1522,0,1,10,0.8876478318002629,103
2586,0,1,10,0.9021655065738592,136
1000,0,1,73.20442106983845,0.985,110
1000,0,1,90.58531720424493,0.992,61
405,0,1,10,0.9135802469135802,50
1000,0,1,91.31390099217836,0.982,74
1000,0,1,76.70470743506151,0.984,76
2641,0,1,10,0.8943581976524044,113
1000,0,1,66.70145331224758,0.987,66
1000,0,1,18.665256243873007,0.934,92
1000,0,1,52.98796727209316,0.985,79
339,0,1,10,0.9056047197640118,35
1000,0,1,33.3612675246277,0.974,77
1000,0,1,75.12000345163365,0.988,78
1000,0,1,58.816601132095684,0.986,99
1274,0,1,10,0.9152276295133438,76
487,0,1,10,0.9117043121149897,69
1000,0,1,47.91834378082882,0.979,99
1895,0,1,10,0.8970976253298153,126
1000,0,1,64.09389743905311,0.985,96
1000,0,1,6.6128720856077905,0.871,54
1000,0,1,55.6741214834943,0.976,82
686,0,1,10,0.892128279883382,69
322,0,1,10,0.9161490683229814,42
1000,0,1,22.962789479958857,0.953,75
1000,0,1,18.288937548430372,0.953,82
1000,0,1,15.295739485561066,0.935,77
1000,0,1,26.783181966288126,0.955,67
158,0,1,10,0.9367088607594937,29
861,0,1,10,0.8943089430894309,84
790,0,1,10,0.9088607594936708,79
1000,0,1,31.606294172603555,0.972,95
1000,0,1,56.275269111161066,0.992,101
1486,0,1,10,0.9030955585464334,96
1000,0,1,89.5249491059787,0.991,57
1000,0,1,49.685776918169054,0.967,67
1000,0,1,21.313854222934136,0.962,101
235,0,1,10,0.9234042553191489,38
205,0,1,10,0.8878048780487805,36
2152,0,1,10,0.9117100371747212,105
15,0,1,10,0.8666666666666667,7
1000,0,1,52.19961937547758,0.972,83
1000,0,1,70.04958028448213,0.986,72
178,0,1,10,0.8539325842696629,40
1000,0,1,99.11888447811671,0.992,83
1449,0,1,10,0.8854382332643203,67
2497,0,1,10,0.8942731277533039,110
2081,0,1,10,0.889476213358962,119
1000,0,1,63.54502770544565,0.98,95
1000,0,1,19.353840383524577,0.938,72
1000,0,1,10.499918163482702,0.908,75
1000,0,1,4.401115908256681,0.783,76
