n,p,lambda,rho,s,i,r,t,mu
10000,0.0005,2,0,9998,2,0,0.1111111111111111,4.9798979897986895
10000,0.0005,2,0,9997,3,0,0.15656565656565657,4.9798979897986895
10000,0.0005,2,0,9996,4,0,0.18686868686868688,4.9798979897986895
10000,0.0005,2,0,9995,5,0,0.2106782106782107,4.9798979897986895
10000,0.0005,2,0,9994,6,0,0.2310863739435168,4.9798979897986895
10000,0.0005,2,0,9993,7,0,0.24832775325386164,4.9798979897986895
10000,0.0005,2,0,9992,8,0,0.26527690579623453,4.9798979897986895
10000,0.0005,2,0,9991,9,0,0.2795626200819488,4.9798979897986895
10000,0.0005,2,0,9990,10,0,0.2922208479300501,4.9798979897986895
10000,0.0005,2,0,9989,11,0,0.30358448429368645,4.9798979897986895
10000,0.0005,2,0,9988,12,0,0.31389376264420193,4.978976874562251
10000,0.0005,2,0,9987,13,0,0.3228223340727734,4.978976874562251
10000,0.0005,2,0,9987,12,1,0.3305742720572695,4.978976874562251
10000,0.0005,2,0,9986,13,1,0.33904884832845594,4.978976874562251
10000,0.0005,2,0,9985,14,1,0.3469228640764874,4.978976874562251
10000,0.0005,2,0,9984,15,1,0.3543855506436516,4.978976874562251
10000,0.0005,2,0,9984,14,2,0.361008067199943,4.978976874562251
10000,0.0005,2,0,9983,15,2,0.3681509243428001,4.978976874562251
10000,0.0005,2,0,9982,16,2,0.3749536454312355,4.978976874562251
10000,0.0005,2,0,9981,17,2,0.38120364543123547,4.978976874562251
10000,0.0005,2,0,9980,18,2,0.38719166938333127,4.977156597535377
10000,0.0005,2,0,9979,19,2,0.3928096469114212,4.977156597535377
10000,0.0005,2,0,9978,20,2,0.39810065220242646,4.977156597535377
10000,0.0005,2,0,9977,21,2,0.40300261298674017,4.977156597535377
10000,0.0005,2,0,9977,20,3,0.40765377577743783,4.977156597535377
10000,0.0005,2,0,9976,21,3,0.41250814470947667,4.977156597535377
10000,0.0005,2,0,9975,22,3,0.4171593075001743,4.977156597535377
10000,0.0005,2,0,9974,23,3,0.42162359321446,4.977156597535377
10000,0.0005,2,0,9973,24,3,0.4258789123633962,4.977156597535377
10000,0.0005,2,0,9972,25,3,0.4299439530138027,4.977156597535377
10000,0.0005,2,0,9971,26,3,0.4337753706383238,4.975130365022149
10000,0.0005,2,0,9970,27,3,0.4374790743420275,4.975130365022149
10000,0.0005,2,0,9969,28,3,0.44098784627185206,4.975130365022149
10000,0.0005,2,0,9968,29,3,0.44443612213392103,4.975130365022149
10000,0.0005,2,0,9967,30,3,0.4478259526423956,4.975130365022149
10000,0.0005,2,0,9966,31,3,0.45109392649860475,4.975130365022149
10000,0.0005,2,0,9965,32,3,0.4542287227368493,4.975130365022149
10000,0.0005,2,0,9964,33,3,0.4573151424899357,4.975130365022149
10000,0.0005,2,0,9963,34,3,0.4602825015403808,4.975130365022149
10000,0.0005,2,0,9962,35,3,0.46313964439752364,4.975130365022149
10000,0.0005,2,0,9961,36,3,0.46584967149779466,4.973198152981548
10000,0.0005,2,0,9960,37,3,0.46845383816446134,4.973198152981548
10000,0.0005,2,0,9959,38,3,0.4709854837340816,4.973198152981548
10000,0.0005,2,0,9958,39,3,0.4734730459231363,4.973198152981548
10000,0.0005,2,0,9957,40,3,0.47584834283525035,4.973198152981548
10000,0.0005,2,0,9956,41,3,0.47818479143338116,4.973198152981548
