n,p,lambda,rho,s,i,r,mu,t
10000,0.0005,2,0,1.0,0.0001,-0.0001,5,0
10000,0.0005,2,0,1.0,0.0002,-0.0002,5,0.06831517145200941
10000,0.0005,2,0,1.0,0.0003,-0.0003,5,0.14670288200424797
10000,0.0005,2,0,1.0,0.0004,-0.0004,5,0.18259023748363346
10000,0.0005,2,0,1.0,0.0005,-0.0005,5,0.26063514609322946
10000,0.0005,2,0,1.0,0.0006,-0.0006,5,0.3276847097297121
10000,0.0005,2,0,1.0,0.0007,-0.0007,5,0.3409430141630445
10000,0.0005,2,0,1.0,0.0008,-0.0008,5,0.4118911451858912
10000,0.0005,2,0,1.0,0.0009,-0.0009,5,0.4210450085944589
10000,0.0005,2,0,1.0,0.001,-0.001,5.042942942942957,0.4257406127579373
10000,0.0005,2,0,1.0,0.0011,-0.0011,5.042942942942957,0.4465652271019623
10000,0.0005,2,0,1.0,0.0012,-0.0012,5.042942942942957,0.4525829056079999
10000,0.0005,2,0,1.0,0.0013,-0.0013,5.042942942942957,0.498931704469298
10000,0.0005,2,0,1.0,0.0014,-0.0014,5.042942942942957,0.5032936888479798
10000,0.0005,2,0,1.0,0.0015,-0.0015,5.042942942942957,0.5080418562131624
10000,0.0005,2,0,1.0,0.0016,-0.0016,5.042942942942957,0.5092486120618808
10000,0.0005,2,0,1.0,0.0017,-0.0017,5.042942942942957,0.5290496123985323
10000,0.0005,2,0,1.0,0.0018,-0.0018,5.042942942942957,0.5428315680752568
10000,0.0005,2,0,1.0,0.0019,-0.0019,5.042942942942957,0.5435507168929098
10000,0.0005,2,0,1.0,0.002,-0.002,5.042184368737282,0.5640359824251772
10000,0.0005,2,0,1.0,0.0021,-0.0021,5.042184368737282,0.5642567012700752
10000,0.0005,2,0,1.0,0.0022,-0.0022,5.042184368737282,0.5657338564818488
10000,0.0005,2,0,1.0,0.0023,-0.0023,5.042184368737282,0.5662607469672345
10000,0.0005,2,0,1.0,0.0024,-0.0024,5.042184368737282,0.5691298506919165
10000,0.0005,2,0,1.0,0.0025,-0.0025,5.042184368737282,0.5693723090834208
10000,0.0005,2,0,1.0,0.0026,-0.0026,5.042184368737282,0.580514077689392
10000,0.0005,2,0,1.0,0.0027,-0.0027,5.042184368737282,0.5806354990382402
10000,0.0005,2,0,1.0,0.0028,-0.0028,5.042184368737282,0.5914417915446357
10000,0.0005,2,0,1.0,0.0029,-0.0029,5.042184368737282,0.5932378603706825
10000,0.0005,2,0,1.0,0.003,-0.003,5.041524573721133,0.594941915564739
10000,0.0005,2,0,1.0,0.0031,-0.0031,5.041524573721133,0.5976843950166888
10000,0.0005,2,0,1.0,0.0032,-0.0032,5.041524573721133,0.6050182637518586
10000,0.0005,2,0,1.0,0.0033,-0.0033,5.041524573721133,0.6101942610503804
10000,0.0005,2,0,1.0,0.0034,-0.0034,5.041524573721133,0.6150578084200184
10000,0.0005,2,0,1.0,0.0035,-0.0035,5.041524573721133,0.6170894653585659
10000,0.0005,2,0,1.0,0.0036,-0.0036,5.041524573721133,0.6184635098193595
10000,0.0005,2,0,1.0,0.0037,-0.0037,5.041524573721133,0.6198482954310854
10000,0.0005,2,0,1.0,0.0038,-0.0038,5.041524573721133,0.6202079236866639
10000,0.0005,2,0,1.0,0.0039,-0.0039,5.041524573721133,0.6205291918232266
10000,0.0005,2,0,1.0,0.004,-0.004,5.04066265060228,0.6211573545170759
10000,0.0005,2,0,1.0,0.0041,-0.0041,5.04066265060228,0.6221168763102851
10000,0.0005,2,0,1.0,0.0042,-0.0042,5.04066265060228,0.6226758021126886
10000,0.0005,2,0,1.0,0.0043,-0.0043,5.04066265060228,0.624044546002687
10000,0.0005,2,0,1.0,0.0044,-0.0044,5.04066265060228,0.6281420875056376
10000,0.0005,2,0,1.0,0.0045,-0.0045,5.04066265060228,0.6415441648278728
10000,0.0005,2,0,1.0,0.0046,-0.0046,5.04066265060228,0.6461913492973151
10000,0.0005,2,0,1.0,0.0047,-0.0047,5.04066265060228,0.6465355087520326
10000,0.0005,2,0,1.0,0.0048,-0.0048,5.04066265060228,0.6468133638122147
10000,0.0005,2,0,1.0,0.0049,-0.0049,5.04066265060228,0.6475430895742652
10000,0.0005,2,0,1.0,0.005,-0.005,5.0402010050253905,0.6476329692374867
10000,0.0005,2,0,1.0,0.0051,-0.0051,5.0402010050253905,0.6492603933175716
10000,0.0005,2,0,1.0,0.0052,-0.0052,5.0402010050253905,0.6504623073445805
10000,0.0005,2,0,1.0,0.0053,-0.0053,5.0402010050253905,0.6526247475346763
10000,0.0005,2,0,1.0,0.0054,-0.0054,5.0402010050253905,0.6528188163580579
10000,0.0005,2,0,1.0,0.0055,-0.0055,5.0402010050253905,0.6571515340405207
10000,0.0005,2,0,1.0,0.0056,-0.0056,5.0402010050253905,0.6584430735918965
10000,0.0005,2,0,1.0,0.0057,-0.0057,5.0402010050253905,0.6587269614889397
10000,0.0005,2,0,1.0,0.0058,-0.0058,5.0402010050253905,0.6600344462557272
10000,0.0005,2,0,1.0,0.0059,-0.0059,5.0402010050253905,0.6627607973038859
10000,0.0005,2,0,1.0,0.006,-0.006,5.038832997988059,0.665651019970717
10000,0.0005,2,0,1.0,0.0061,-0.0061,5.038832997988059,0.6669157004242316
10000,0.0005,2,0,1.0,0.0062,-0.0062,5.038832997988059,0.6703207911059048
10000,0.0005,2,0,1.0,0.0063,-0.0063,5.038832997988059,0.6724014574999536
10000,0.0005,2,0,1.0,0.0064,-0.0064,5.038832997988059,0.6726861582427055
10000,0.0005,2,0,1.0,0.0065,-0.0065,5.038832997988059,0.6758282367572823
10000,0.0005,2,0,1.0,0.0066,-0.0066,5.038832997988059,0.6776479447028316
10000,0.0005,2,0,1.0,0.0067,-0.0067,5.038832997988059,0.6777547285653505
10000,0.0005,2,0,1.0,0.0068,-0.0068,5.038832997988059,0.6794760760787276
10000,0.0005,2,0,1.0,0.0069,-0.0069,5.038832997988059,0.6807907988830104
10000,0.0005,2,0,1.0,0.007,-0.007,5.037764350453313,0.6822114160083964
10000,0.0005,2,0,1.0,0.0071,-0.0071,5.037764350453313,0.6847328172814274
10000,0.0005,2,0,1.0,0.0072,-0.0072,5.037764350453313,0.685966657705248
10000,0.0005,2,0,1.0,0.0073,-0.0073,5.037764350453313,0.6870127240656524
10000,0.0005,2,0,1.0,0.0074,-0.0074,5.037764350453313,0.6872049151096851
10000,0.0005,2,0,1.0,0.0075,-0.0075,5.037764350453313,0.6885532237829667
