n,p,lambda,rho,s,i,r,t,mu
10000,0.0005,2,0,9998,10000,0,9.987016878058524e-05,5.934478448448616
10000,0.0005,2,0,9997,10001,0,0.00019969049219843311,5.93447448537139
10000,0.0005,2,0,9996,10002,0,0.0002994212192354332,5.934548534100876
10000,0.0005,2,0,9995,10003,0,0.00039904265776900566,5.9344196176484925
10000,0.0005,2,0,9994,10004,0,0.0004986541728601502,5.934418295116616
10000,0.0005,2,0,9993,10005,0,0.000598117073198324,5.934528731924893
10000,0.0005,2,0,9992,10006,0,0.0006974910173501675,5.93460281599153
10000,0.0005,2,0,9991,10007,0,0.0007967367497836728,5.9345935804063
10000,0.0005,2,0,9991,10006,1,0.0008958742535013291,5.934545307806517
10000,0.0005,2,0,9990,10007,1,0.0009950412507246532,5.934545307806517
10000,0.0005,2,0,9990,10006,2,0.0010940805693341411,5.934758041729573
10000,0.0005,2,0,9989,10007,2,0.0011932279022708852,5.934758041729573
10000,0.0005,2,0,9988,10008,2,0.0012923654059885416,5.934756725123419
10000,0.0005,2,0,9987,10009,2,0.0013914341597036199,5.934731276110083
10000,0.0005,2,0,9986,10010,2,0.001490414660544954,5.93470450508623
10000,0.0005,2,0,9985,10011,2,0.0015892875100604771,5.934575477411329
10000,0.0005,2,0,9984,10012,2,0.0016881701363830322,5.934575477411329
10000,0.0005,2,0,9983,10013,2,0.001786984365632044,5.934428877138415
10000,0.0005,2,0,9982,10014,2,0.0018857497977308095,5.934424905613171
10000,0.0005,2,0,9981,10015,2,0.001984330239371188,5.9341895357524646
10000,0.0005,2,0,9980,10016,2,0.002082842701197609,5.93416402447686
10000,0.0005,2,0,9979,10017,2,0.002181287276901488,5.9341385090794025
10000,0.0005,2,0,9978,10018,2,0.0022797221622248465,5.934197770237503
10000,0.0005,2,0,9977,10019,2,0.0023780892682645867,5.934455037567509
10000,0.0005,2,0,9976,10020,2,0.0024763693665446848,5.934347413285483
10000,0.0005,2,0,9975,10021,2,0.002574543330809362,5.9345212841189365
10000,0.0005,2,0,9974,10022,2,0.0026726691280814646,5.934537519699388
10000,0.0005,2,0,9973,10023,2,0.0027706507075445255,5.934648183324657
10000,0.0005,2,0,9972,10024,2,0.0028685459596247995,5.934722418705737
10000,0.0005,2,0,9972,10023,3,0.0029663550363071157,5.934655186351755
10000,0.0005,2,0,9971,10024,3,0.0030642502883873896,5.934655186351755
10000,0.0005,2,0,9971,10023,4,0.00316211679846764,5.934713182681643
10000,0.0005,2,0,9970,10024,4,0.003260088778481356,5.934713182681643
10000,0.0005,2,0,9969,10025,4,0.0033580127894488453,5.934790079036505
10000,0.0005,2,0,9969,10024,5,0.003455850574401394,5.934621760402153
10000,0.0005,2,0,9969,10023,6,0.0035537362439393735,5.934621760402153
10000,0.0005,2,0,9968,10024,6,0.0036516890306961566,5.934621760402153
10000,0.0005,2,0,9967,10025,6,0.003749478977889585,5.934549204360505
10000,0.0005,2,0,9966,10026,6,0.0038472020307577567,5.93452368915859
10000,0.0005,2,0,9965,10027,6,0.003944877357970103,5.934661274017483
10000,0.0005,2,0,9964,10028,6,0.004042485947525983,5.93471666060072
10000,0.0005,2,0,9963,10029,6,0.004139989847681989,5.934708737864171
10000,0.0005,2,0,9963,10028,7,0.004237465235146654,5.934604959748315
10000,0.0005,2,0,9963,10027,8,0.00433502621075641,5.934604959748315
10000,0.0005,2,0,9962,10028,8,0.004432691998430988,5.934604959748315
10000,0.0005,2,0,9961,10029,8,0.004530252974040744,5.9343947240646235
10000,0.0005,2,0,9960,10030,8,0.004627633439519369,5.934442151268289
10000,0.0005,2,0,9959,10031,8,0.004724947569531047,5.934396373789465
10000,0.0005,2,0,9958,10032,8,0.004822214372371237,5.934453101283808
10000,0.0005,2,0,9957,10033,8,0.004919339469496334,5.934482968000043
10000,0.0005,2,0,9956,10034,8,0.005016398578493714,5.934356213181645
10000,0.0005,2,0,9955,10035,8,0.005113372977252442,5.93422810640222
10000,0.0005,2,0,9954,10036,8,0.005210262813508618,5.934241694167392
10000,0.0005,2,0,9953,10037,8,0.005307143263033904,5.9341580449892835
10000,0.0005,2,0,9952,10038,8,0.0054039768061732475,5.934052806352547
10000,0.0005,2,0,9951,10039,8,0.005500632518525847,5.934120458503203
10000,0.0005,2,0,9950,10040,8,0.005597222878807891,5.93403410702277
10000,0.0005,2,0,9949,10041,8,0.005693636299556059,5.933959970825985
10000,0.0005,2,0,9948,10042,8,0.005789984695355269,5.933974878443281
10000,0.0005,2,0,9947,10043,8,0.0058862496164180335,5.9339479282781555
10000,0.0005,2,0,9946,10044,8,0.005982412709023091,5.933858842122042
10000,0.0005,2,0,9945,10045,8,0.006078511113789572,5.933975073461983
10000,0.0005,2,0,9944,10046,8,0.00617448961460539,5.9338643641820985
10000,0.0005,2,0,9943,10047,8,0.006270385280121309,5.933695497943515
10000,0.0005,2,0,9942,10048,8,0.006366198253197864,5.933546869931345
10000,0.0005,2,0,9941,10049,8,0.006461910351207052,5.933498236081072
10000,0.0005,2,0,9940,10050,8,0.006557521786334693,5.933490145187953
10000,0.0005,2,0,9940,10049,9,0.0066530327700978255,5.933380653011991
10000,0.0005,2,0,9939,10050,9,0.006748662491815335,5.933380653011991
10000,0.0005,2,0,9938,10051,9,0.006844155234366901,5.933430692470566
10000,0.0005,2,0,9937,10052,9,0.006939438702685148,5.933292757152492
10000,0.0005,2,0,9936,10053,9,0.007034640530560243,5.933428020695315
10000,0.0005,2,0,9935,10054,9,0.007129797063056199,5.93336309402971
10000,0.0005,2,0,9935,10053,10,0.00722483602903225,5.933252156267994
10000,0.0005,2,0,9934,10054,10,0.007319956356246176,5.933252156267994
10000,0.0005,2,0,9933,10055,10,0.007414941158677787,5.933383400654234
10000,0.0005,2,0,9932,10056,10,0.0075098268214541415,5.933578287082766
10000,0.0005,2,0,9931,10057,10,0.007604613551311961,5.933346868337819
10000,0.0005,2,0,9930,10058,10,0.0076993374312020815,5.933422671620726
10000,0.0005,2,0,9929,10059,10,0.007794070284555625,5.933422671620726
10000,0.0005,2,0,9928,10060,10,0.007888794164445745,5.933460577880967
10000,0.0005,2,0,9928,10059,11,0.007983473202506718,5.933354993297496
10000,0.0005,2,0,9927,10060,11,0.008078179140569033,5.933354993297496
10000,0.0005,2,0,9927,10059,12,0.008172679235069128,5.933277816143049
10000,0.0005,2,0,9926,10060,12,0.008267295565847821,5.933277816143049
10000,0.0005,2,0,9926,10059,13,0.008361831394927043,5.933271039428951
10000,0.0005,2,0,9925,10060,13,0.008456447725705736,5.933271039428951
10000,0.0005,2,0,9924,10061,13,0.008550965684117834,5.933222274141351
10000,0.0005,2,0,9923,10062,13,0.008645403308067215,5.933012312571113
10000,0.0005,2,0,9922,10063,13,0.008739778544005304,5.932884951434364
10000,0.0005,2,0,9922,10062,14,0.008834055908010207,5.932917411801316
10000,0.0005,2,0,9921,10063,14,0.008928395530651717,5.932917411801316
10000,0.0005,2,0,9921,10062,15,0.00902267289465662,5.932972929030605
10000,0.0005,2,0,9920,10063,15,0.009116994720727172,5.932972929030605
10000,0.0005,2,0,9919,10064,15,0.00921121878555333,5.9332086670187545
10000,0.0005,2,0,9918,10065,15,0.009305292162787571,5.933155786866412
10000,0.0005,2,0,9917,10066,15,0.009399285959197009,5.933230318802802
10000,0.0005,2,0,9916,10067,15,0.009493200309309707,5.9333455336623855
10000,0.0005,2,0,9915,10068,15,0.009587017740588438,5.933479755149859
10000,0.0005,2,0,9914,10069,15,0.009680773600329672,5.933535357643403
10000,0.0005,2,0,9913,10070,15,0.009774432867914198,5.933649289098441
10000,0.0005,2,0,9912,10071,15,0.009867960739219847,5.933699521921265
10000,0.0005,2,0,9911,10072,15,0.00996147986388084,5.933759205762477
10000,0.0005,2,0,9910,10073,15,0.010054955279846442,5.933856889992391
10000,0.0005,2,0,9909,10074,15,0.01014828239137234,5.934068617476252
10000,0.0005,2,0,9909,10073,16,0.01024146166830115,5.934117599166096
10000,0.0005,2,0,9908,10074,16,0.010334684377353076,5.934117599166096
10000,0.0005,2,0,9907,10075,16,0.010427811589124356,5.933987420360099
10000,0.0005,2,0,9906,10076,16,0.010520843499069467,5.933694346611838
10000,0.0005,2,0,9905,10077,16,0.010613814863889102,5.933587149053196
10000,0.0005,2,0,9904,10078,16,0.010706743030416375,5.933684896361953
10000,0.0005,2,0,9903,10079,16,0.010799645297231686,5.933763642287533
10000,0.0005,2,0,9902,10080,16,0.01089252167876786,5.933760944817484
10000,0.0005,2,0,9902,10079,17,0.010985320490943064,5.933733835658018
10000,0.0005,2,0,9901,10080,17,0.011078265931969181,5.933733835658018
10000,0.0005,2,0,9900,10081,17,0.01117111644264699,5.933644269741487
10000,0.0005,2,0,9899,10082,17,0.011263889427153902,5.933739357150978
10000,0.0005,2,0,9898,10083,17,0.011356516326005327,5.933829072017533
10000,0.0005,2,0,9897,10084,17,0.011449066071493527,5.933863080685856
10000,0.0005,2,0,9896,10085,17,0.011541538792040966,5.933897096283709
10000,0.0005,2,0,9895,10086,17,0.01163396877632787,5.934015324424746
10000,0.0005,2,0,9894,10087,17,0.01172632193480589,5.933886318706937
10000,0.0005,2,0,9893,10088,17,0.011818632467437664,5.933861894667133
10000,0.0005,2,0,9892,10089,17,0.01191088338994689,5.933712468660067
10000,0.0005,2,0,9891,10090,17,0.012003006835363749,5.9336201096815335
10000,0.0005,2,0,9890,10091,17,0.012094969314672192,5.933667747393616
10000,0.0005,2,0,9889,10092,17,0.012186889527927087,5.933643297035263
10000,0.0005,2,0,9889,10091,18,0.012278700031048645,5.933674614020479
10000,0.0005,2,0,9888,10092,18,0.01237055269936866,5.933674614020479
10000,0.0005,2,0,9887,10093,18,0.012462278988123018,5.933541398936747
10000,0.0005,2,0,9886,10094,18,0.01255396322760225,5.933659730722903
10000,0.0005,2,0,9885,10095,18,0.01264552155025378,5.933648902309458
10000,0.0005,2,0,9884,10096,18,0.0127370212300049,5.933786320596973
10000,0.0005,2,0,9883,10097,18,0.012828479067941611,5.933782267115799
10000,0.0005,2,0,9882,10098,18,0.012919761587339146,5.933971506713267
10000,0.0005,2,0,9881,10099,18,0.01301098581649441,5.934068177179562
10000,0.0005,2,0,9881,10098,19,0.013102101989615138,5.934201661800036
10000,0.0005,2,0,9880,10099,19,0.013193326218770401,5.934201661800036
10000,0.0005,2,0,9880,10098,20,0.013284525489176238,5.934301055508307
10000,0.0005,2,0,9879,10099,20,0.013375816341832802,5.934301055508307
10000,0.0005,2,0,9878,10100,20,0.013467015612238639,5.9343746809596745
10000,0.0005,2,0,9877,10101,20,0.013558106885694641,5.934467407285292
10000,0.0005,2,0,9876,10102,20,0.013649123541742698,5.934705798256367
10000,0.0005,2,0,9875,10103,20,0.013740049164583214,5.934718222112345
10000,0.0005,2,0,9874,10104,20,0.013830916951952592,5.934774171142869
10000,0.0005,2,0,9873,10105,20,0.013921710487452865,5.934726648688568
10000,0.0005,2,0,9872,10106,20,0.014012396984233495,5.934676447151333
10000,0.0005,2,0,9871,10107,20,0.014103058815602488,5.934694211161435
10000,0.0005,2,0,9870,10108,20,0.014193679567754731,5.934649337909896
10000,0.0005,2,0,9869,10109,20,0.014284242871504052,5.934684868798077
10000,0.0005,2,0,9868,10110,20,0.014374765185254391,5.934721739663134
10000,0.0005,2,0,9867,10111,20,0.014465132074826052,5.934871931151815
10000,0.0005,2,0,9866,10112,20,0.014555441837311377,5.934621281814406
10000,0.0005,2,0,9865,10113,20,0.014645694544892604,5.934677270961823
10000,0.0005,2,0,9864,10114,20,0.014735939107657697,5.934696381108262
10000,0.0005,2,0,9863,10115,20,0.014826061674348396,5.93472659604777
10000,0.0005,2,0,9862,10116,20,0.014916159881394076,5.934621676889828
10000,0.0005,2,0,9861,10117,20,0.015006168882294165,5.934429582361035
10000,0.0005,2,0,9860,10118,20,0.015096153584894722,5.934447353349959
10000,0.0005,2,0,9860,10117,21,0.015186065471246098,5.93454292552346
10000,0.0005,2,0,9859,10118,21,0.015276066371255097,5.93454292552346
10000,0.0005,2,0,9858,10119,21,0.01536596209221878,5.934676759410567
10000,0.0005,2,0,9857,10120,21,0.015455849732668218,5.934695881666963
10000,0.0005,2,0,9856,10121,21,0.01554561633949048,5.934869349920068
10000,0.0005,2,0,9856,10120,22,0.01563534267416971,5.934783498404948
10000,0.0005,2,0,9855,10121,22,0.015725141524744423,5.934783498404948
10000,0.0005,2,0,9854,10122,22,0.0158148034991011,5.934873820586842
10000,0.0005,2,0,9853,10123,22,0.015904377128624567,5.934906761100243
10000,0.0005,2,0,9852,10124,22,0.015993910658931666,5.9346571136138015
10000,0.0005,2,0,9851,10125,22,0.01608338811061384,5.934631290178658
10000,0.0005,2,0,9850,10126,22,0.016172745630049102,5.934661534052287
10000,0.0005,2,0,9849,10127,22,0.016261999467964132,5.934734082858897
10000,0.0005,2,0,9849,10126,23,0.01635119757696422,5.934810658036482
10000,0.0005,2,0,9848,10127,23,0.01644043548522765,5.934810658036482
10000,0.0005,2,0,9847,10128,23,0.016529617684460682,5.934805317163644
10000,0.0005,2,0,9846,10129,23,0.0166187919309383,5.9347834992418065
10000,0.0005,2,0,9845,10130,23,0.016707942327657564,5.934698893896148
10000,0.0005,2,0,9844,10131,23,0.016797053003116486,5.934612942214302
10000,0.0005,2,0,9843,10132,23,0.016886092269432933,5.934462837006945
10000,0.0005,2,0,9842,10133,23,0.01697506024096318,5.934476611962103
10000,0.0005,2,0,9842,10132,24,0.017063878075584373,5.934442691149309
10000,0.0005,2,0,9841,10133,24,0.01715271958233633,5.934442691149309
10000,0.0005,2,0,9840,10134,24,0.017241442854450603,5.9344729344722476
10000,0.0005,2,0,9839,10135,24,0.017330158255444216,5.934471591374708
10000,0.0005,2,0,9838,10136,24,0.01741877145881152,5.934544187284623
10000,0.0005,2,0,9837,10137,24,0.017507282699739116,5.9344527822208075
10000,0.0005,2,0,9836,10138,24,0.017595739134944777,5.934529423827629
10000,0.0005,2,0,9835,10139,24,0.017684140832257365,5.934503547552908
10000,0.0005,2,0,9834,10140,24,0.017772503472533056,5.934499518078502
10000,0.0005,2,0,9833,10141,24,0.017860827090268438,5.934433962265204
10000,0.0005,2,0,9832,10142,24,0.017949018288786825,5.93452442001016
10000,0.0005,2,0,9832,10141,25,0.018037139543633493,5.93455873302435
10000,0.0005,2,0,9831,10142,25,0.018125393007581952,5.93455873302435
10000,0.0005,2,0,9830,10143,25,0.018213576429098707,5.934613569684938
10000,0.0005,2,0,9829,10144,25,0.018301689919274052,5.934543962244657
10000,0.0005,2,0,9828,10145,25,0.018389749095040167,5.934559110218178
10000,0.0005,2,0,9828,10144,26,0.01847775402331615,5.934492170665212
10000,0.0005,2,0,9827,10145,26,0.018565844227685424,5.934492170665212
10000,0.0005,2,0,9826,10146,26,0.018653880146340236,5.934486792683545
10000,0.0005,2,0,9825,10147,26,0.018741877330430347,5.934421182265635
10000,0.0005,2,0,9824,10148,26,0.018829773963989282,5.934391230267768
10000,0.0005,2,0,9823,10149,26,0.01891763198542664,5.934387189488468
10000,0.0005,2,0,9822,10150,26,0.01900545142865137,5.934362617284175
10000,0.0005,2,0,9821,10151,26,0.01909320151640146,5.93425321342119
10000,0.0005,2,0,9820,10152,26,0.01918095930490519,5.9342518634101795
10000,0.0005,2,0,9819,10153,26,0.019268632459385288,5.934325906152622
10000,0.0005,2,0,9818,10154,26,0.019356159811682882,5.934497278421264
10000,0.0005,2,0,9817,10155,26,0.019443572399095468,5.9345276003040714
10000,0.0005,2,0,9816,10156,26,0.01953090101668345,5.934786628587053
10000,0.0005,2,0,9815,10157,26,0.01961817628287301,5.9346990774044865
10000,0.0005,2,0,9814,10158,26,0.0197054439327552,5.934718283811312
10000,0.0005,2,0,9813,10159,26,0.019792643095643235,5.934670475329052
10000,0.0005,2,0,9812,10160,26,0.019879789065142147,5.934665104712545
10000,0.0005,2,0,9811,10161,26,0.019966806120484994,5.934879131720474
10000,0.0005,2,0,9810,10162,26,0.020053785332453333,5.93485321930984
10000,0.0005,2,0,9809,10163,26,0.020140681404750865,5.934598462107688
10000,0.0005,2,0,9808,10164,26,0.020227524652688338,5.934675330015687
10000,0.0005,2,0,9807,10165,26,0.020314239879882234,5.934704370179776
10000,0.0005,2,0,9806,10166,26,0.020400827463222783,5.934795129173824
