n,p,lambda,rho,s,i,r,t,mu
10000,0.0005,2,3,9999,1,0,0.03225806451612903,4.990499049904676
10000,0.0005,2,3,9998,2,0,0.0707196029776675,4.990599059905676
10000,0.0005,2,3,9998,2,0,0.0945291267871913,4.99059811962382
10000,0.0005,2,3,9998,2,0,0.12155615381421833,4.9906981396278205
10000,0.0005,2,3,9997,3,0,0.15280615381421833,4.990798159631821
10000,0.0005,2,3,9996,4,0,0.17167407834252021,4.990697209162763
10000,0.0005,2,3,9996,4,0,0.18729907834252021,4.990796318527427
10000,0.0005,2,3,9996,4,0,0.2042482308848931,4.990896358543433
10000,0.0005,2,3,9995,5,0,0.22276674940341162,4.9909963985594406
10000,0.0005,2,3,9995,4,1,0.23705246368912591,4.990995497748855
10000,0.0005,2,3,9995,4,1,0.2540016162314988,4.990995497748855
10000,0.0005,2,3,9994,5,1,0.27252013475001735,4.9910955477738685
10000,0.0005,2,3,9994,5,1,0.28585346808335066,4.990994596757918
10000,0.0005,2,3,9994,5,1,0.30013918236906495,4.9910946567939405
10000,0.0005,2,3,9993,6,1,0.31552379775368034,4.991194716829963
10000,0.0005,2,3,9992,7,1,0.327869476766026,4.991193835685111
10000,0.0005,2,3,9992,7,1,0.3376733983346535,4.991092874299377
10000,0.0005,2,3,9992,7,1,0.34798267668516897,4.991192954363428
10000,0.0005,2,3,9991,8,1,0.35885224190256026,4.991293034427479
10000,0.0005,2,3,9991,8,1,0.36666474190256026,4.990891802622636
10000,0.0005,2,3,9991,8,1,0.37479482320337326,4.990991892703709
10000,0.0005,2,3,9990,9,1,0.3832693994745597,4.991091982784782
10000,0.0005,2,3,9990,9,1,0.3902138439190041,4.99089089089094
10000,0.0005,2,3,9990,9,1,0.39740808852332066,4.9909909909910395
10000,0.0005,2,3,9990,9,1,0.40487077509048486,4.99109109109114
10000,0.0005,2,3,9990,9,1,0.412622713074981,4.99119119119124
10000,0.0005,2,3,9990,9,1,0.42068722920401325,4.991291291291341
10000,0.0005,2,3,9990,9,1,0.4290905905485511,4.991391391391441
10000,0.0005,2,3,9989,10,1,0.43786252037311246,4.991491491491542
10000,0.0005,2,3,9989,10,1,0.4443141332763383,4.990990089098267
10000,0.0005,2,3,9988,11,1,0.45098079994300494,4.9910901992194
10000,0.0005,2,3,9988,11,1,0.4568287531593792,4.990989187024657
10000,0.0005,2,3,9988,11,1,0.4628528495449214,4.9910893071688305
10000,0.0005,2,3,9988,11,1,0.469064029669145,4.991189427313003
10000,0.0005,2,3,9988,11,1,0.4754742860794014,4.991289547457177
10000,0.0005,2,3,9988,11,1,0.48209680263569277,4.991389667601349
10000,0.0005,2,3,9988,11,1,0.48894611770418595,4.991489787745523
10000,0.0005,2,3,9987,12,1,0.49603831628574624,4.991589907889695
10000,0.0005,2,3,9986,13,1,0.5018522697741183,4.991288675278243
10000,0.0005,2,3,9986,13,1,0.5074702473022082,4.991488083317212
10000,0.0005,2,3,9986,13,1,0.5132505941230175,4.991588223513487
10000,0.0005,2,3,9986,12,2,0.5192029750753985,4.991688363709762
10000,0.0005,2,3,9985,13,2,0.5253758145815713,4.991688363709762
10000,0.0005,2,3,9985,13,2,0.5313281955339523,4.991887831747738
10000,0.0005,2,3,9985,13,2,0.5374631648591056,4.991987981973076
10000,0.0005,2,3,9985,13,2,0.5437922787831563,4.992088132198414
10000,0.0005,2,3,9984,14,2,0.5503282264955746,4.9921882824237525
10000,0.0005,2,3,9984,14,2,0.5562453862588882,4.992187500000061
10000,0.0005,2,3,9984,14,2,0.562342947234498,4.992287660256472
10000,0.0005,2,3,9984,14,2,0.5686322554105986,4.992387820512882
10000,0.0005,2,3,9984,14,2,0.575125761904105,4.992487980769293
10000,0.0005,2,3,9983,15,2,0.5818371713000782,4.992588141025703
10000,0.0005,2,3,9983,14,3,0.5885038379667449,4.992887909446238
10000,0.0005,2,3,9982,15,3,0.5954482824111893,4.992887909446238
10000,0.0005,2,3,9982,15,3,0.6016982824111893,4.992887196954066
10000,0.0005,2,3,9982,15,3,0.6081498953144151,4.9929873772786495
10000,0.0005,2,3,9982,15,3,0.6148165619810818,4.993087557603234
10000,0.0005,2,3,9981,16,3,0.6217131137052198,4.993187737927818
10000,0.0005,2,3,9981,16,3,0.627394931887038,4.99288648432029
10000,0.0005,2,3,9981,15,4,0.6332428851034122,4.992986674681977
10000,0.0005,2,3,9981,15,4,0.6391252380445887,4.992986674681977
10000,0.0005,2,3,9981,15,4,0.6451858441051948,4.993086865043664
10000,0.0005,2,3,9981,15,4,0.6514358441051947,4.993187055405352
10000,0.0005,2,3,9980,16,4,0.6578874570084206,4.99328724576704
10000,0.0005,2,3,9979,17,4,0.6637354102247948,4.993286573146083
10000,0.0005,2,3,9978,18,4,0.6689437435581281,4.993185689948804
10000,0.0005,2,3,9977,19,4,0.6741250907083872,4.99348566847061
10000,0.0005,2,3,9977,18,5,0.6785893764226729,4.993184323945302
10000,0.0005,2,3,9976,19,5,0.6839085253588432,4.993184323945302
10000,0.0005,2,3,9976,19,5,0.6883728110731289,4.992782678428415
10000,0.0005,2,3,9975,20,5,0.6929390211187909,4.9928829190058
10000,0.0005,2,3,9975,20,5,0.6968605897462419,4.992481203007131
10000,0.0005,2,3,9974,21,5,0.7008605897462419,4.992581453633697
10000,0.0005,2,3,9974,21,5,0.7046199882424825,4.992580709845769
10000,0.0005,2,3,9973,22,5,0.7084514058670036,4.992680970523532
10000,0.0005,2,3,9973,21,6,0.7119357264244949,4.992479695177622
10000,0.0005,2,3,9972,22,6,0.7158419764244949,4.992479695177622
10000,0.0005,2,3,9972,22,6,0.7193262969819861,4.9921780986763835
10000,0.0005,2,3,9971,23,6,0.7228723962727662,4.992278379462586
10000,0.0005,2,3,9970,24,6,0.72606728445168,4.991976732523888
10000,0.0005,2,3,9969,25,6,0.7291537042047664,4.992076228686011
10000,0.0005,2,3,9969,25,6,0.7319706056132171,4.991774500953115
10000,0.0005,2,3,9969,25,6,0.73482774847036,4.9918748119171035
10000,0.0005,2,3,9968,26,6,0.7377262991949977,4.991975122881091
