n,p,lambda,rho,s,i,r,t,mu,newmu
100000,5e-05,2,3,99999,1,0,0.047619047619047616,5.002670026700501,5
100000,5e-05,2,3,99998,2,0,0.11011904761904762,5.002670026700501,5
100000,5e-05,2,3,99997,3,0,0.15557359307359309,5.002670026700501,5
100000,5e-05,2,3,99997,3,0,0.17640692640692643,5.002670026700501,5
100000,5e-05,2,3,99996,4,0,0.19966274036041481,5.002670026700501,5
100000,5e-05,2,3,99996,4,0,0.21528774036041481,5.002670026700501,5
100000,5e-05,2,3,99995,5,0,0.2322368929027877,5.002670026700501,5
100000,5e-05,2,3,99995,5,0,0.2427632086922614,5.002670026700501,5
100000,5e-05,2,3,99995,5,0,0.2538743198033725,5.002670026700501,5
100000,5e-05,2,3,99994,6,0,0.26563902568572545,5.002670026700501,5
100000,5e-05,2,3,99993,7,0,0.27554001578473536,5.002670160209665,5
100000,5e-05,2,3,99993,7,0,0.2825822693058621,5.002670160209665,5
100000,5e-05,2,3,99993,7,0,0.2898815393788548,5.002670160209665,5
100000,5e-05,2,3,99993,7,0,0.29745729695461237,5.002670160209665,5
100000,5e-05,2,3,99992,8,0,0.30533131270264385,5.002670160209665,5
100000,5e-05,2,3,99992,8,0,0.31232431969565083,5.002670160209665,5
100000,5e-05,2,3,99992,8,0,0.319570696507245,5.002670160209665,5
100000,5e-05,2,3,99991,9,0,0.3270894934997262,5.002670160209665,5
100000,5e-05,2,3,99990,10,0,0.3323804987907315,5.002670160209665,5
100000,5e-05,2,3,99990,10,0,0.3375087039189366,5.002670160209665,5
100000,5e-05,2,3,99990,10,0,0.3427718618136735,5.002620262027849,5
100000,5e-05,2,3,99989,11,0,0.3481772672190789,5.002620262027849,5
100000,5e-05,2,3,99989,11,0,0.35260204598014083,5.002620262027849,5
100000,5e-05,2,3,99988,12,0,0.35712693285796887,5.002620262027849,5
100000,5e-05,2,3,99988,12,0,0.3613463421406693,5.002620262027849,5
100000,5e-05,2,3,99988,12,0,0.3656566869682555,5.002620262027849,5
100000,5e-05,2,3,99988,12,0,0.3700619733118678,5.002620262027849,5
100000,5e-05,2,3,99988,12,0,0.3745664778163723,5.002620262027849,5
100000,5e-05,2,3,99987,13,0,0.37917477274724787,5.002620262027849,5
100000,5e-05,2,3,99987,12,1,0.3835607376595286,5.002620262027849,5
100000,5e-05,2,3,99987,12,1,0.38905524315403406,5.002640343243003,5
100000,5e-05,2,3,99986,13,1,0.39470496066815836,5.002640343243003,5
100000,5e-05,2,3,99985,14,1,0.39988630781841744,5.002640343243003,5
100000,5e-05,2,3,99985,14,1,0.40445251786407954,5.002640343243003,5
100000,5e-05,2,3,99985,14,1,0.4091254150603412,5.002640343243003,5
100000,5e-05,2,3,99985,14,1,0.41391010405555656,5.002640343243003,5
100000,5e-05,2,3,99985,14,1,0.41881206483987027,5.002640343243003,5
