S,I,R,t
0.999898999995,0.00010089999999999999,1.009e-07,0.0
0.9997538852901149,0.0002302505870015015,1.5993273247497604e-05,0.1
0.9994625004699889,0.00048734641914165427,5.0534941445830325e-05,0.2
0.9988777254647595,0.0010008906576097721,0.0001222614698683985,0.3
0.9977053740052192,0.0020281201700398503,0.0002683391883248853,0.4
0.9953599371780061,0.0040805856619104365,0.0005630770837030989,0.5
0.9906870452597832,0.00816523675092452,0.0011542685288172358,0.6
0.9814536634722213,0.01622366078728834,0.002332863407715286,0.7
0.9635032454836586,0.0318457722078469,0.004660128135420833,0.8
0.9296843775871039,0.06111886623080037,0.009176322971825912,0.9
0.8695794559439766,0.11260224836873531,0.017664996140417086,1.0
0.7730421211743664,0.19365491537358046,0.03276060470394341,1.1
0.6404583003127204,0.3008450031495248,0.057384765843052764,1.2
0.4919432143162345,0.4125621803154994,0.09319960915380408,1.3
0.35740514038407073,0.5003069192715108,0.13917880680686012,1.4
0.25474726631212524,0.549636719620912,0.1920270628654445,1.5
0.18427260897392303,0.5639389775660709,0.24796288616049422,1.6
0.1380812184659878,0.5539656731548668,0.3040095335756051,1.7
0.10802808784095932,0.5296923843709396,0.35826591171024624,1.8
0.08822032981192912,0.4980375702054682,0.409676962210478,1.9
0.07488661458281655,0.46326622702966924,0.4577382570304951,2.0
0.06570487314314445,0.42787107461610274,0.5022754966308703,2.1
0.05924705375802168,0.39326327249283066,0.5433044055784901,2.2
0.0546207653204198,0.36021318283684484,0.5809466542988175,2.3
0.05125523736397089,0.32911347142179137,0.6153802231521603,2.4
0.04877600840267468,0.30013352068320465,0.6468101133087166,2.5
0.046931208863375665,0.27331043047412357,0.6754510086182999,2.6
0.04554747964974093,0.24860334510797746,0.7015170197411282,2.7
0.04450303084947245,0.22592639510562057,0.7252156867007867,2.8
0.04371077364835265,0.20516896825545605,0.7467445817465144,2.9
0.04310749456269013,0.18620832861174605,0.7662895215284271,3.0
0.042646736791967996,0.16891752185166628,0.784023784574279,3.1
0.04229400986144237,0.15317032125249605,0.8001079586459914,3.2
0.042023496333326055,0.13884428338357235,0.8146901803250145,3.3
0.041815743528424265,0.12582257868745525,0.8279066139508395,3.4
0.04165601778879922,0.11399501925020095,0.8398820702853642,3.5
0.04153311367383221,0.10325855703958334,0.8507306993891663,3.6
0.041438481489302674,0.09351743258154223,0.8605567144569776,3.7
0.04136558135528999,0.08468309443744423,0.86945511812972,3.8
0.04130940088290682,0.07667397101659787,0.8775124127408264,3.9
0.041266092511852114,0.06941515049267538,0.8848072827209715,4.0
0.04123269929902409,0.06283800719886522,0.891411242028248,4.1
0.04120694666441413,0.05687980095271461,0.8973892426694169,4.2
0.04118708367394338,0.051483267479265134,0.9028002425800258,4.3
0.04117176174208828,0.04659621228661679,0.9076977326375322,4.4
0.04115994173171783,0.04217111623395521,0.9121302235974863,4.5
0.041150822683010554,0.038164758106979745,0.916141694410861,4.6
0.04114378706398032,0.03453785743268719,0.9197720038010215,4.7
0.041138358669790105,0.03125473928522827,0.9230572672230429,4.8
0.04113417022299646,0.02828302178928852,0.9260302014473989,4.9
0.04113093842413863,0.025593326297907202,0.9287204390416216,5.0
0.041128444730350155,0.023159009722069062,0.9311548149943601,5.1
0.041126520541492004,0.020955918157479932,0.9333576276560565,5.2
0.041125035779912125,0.018962160744045307,0.9353508760735467,5.3
0.04112389008447649,0.017157902572120128,0.9371544756826692,5.4
0.04112300601927518,0.015525175391742608,0.938786454201028,5.5
0.04112232383539126,0.01404770486840147,0.9402631294377058,5.6
0.04112179743016418,0.012710753147770011,0.9415992706118294,5.7
0.04112139122994921,0.01150097553217462,0.9428082446500161,5.8
0.04112107778516705,0.010406290125898835,0.9439021488156631,5.9
0.04112083591479895,0.009415759369293142,0.9448919309118772,6.0
0.04112064927474725,0.00851948244908616,0.945787498195214,6.1
0.04112050525320459,0.007708497641413594,0.9465978160396211,6.2
0.041120394118319685,0.006974693712870055,0.94733099729912,6.3
0.041120308360524535,0.006310729571943606,0.9479943832337012,6.4
0.0411202421850586,0.005709961427573941,0.9485946167853936,6.5
0.04112019112038482,0.005166376772687966,0.9491377089202986,6.6
0.041120151716028834,0.004674534568066843,0.9496290986870708,6.7
0.04112012130941927,0.004229511055626016,0.9500737075826093,6.8
0.041120097845971385,0.0038268506801141518,0.9504759887611939,6.9
0.04112007974025475,0.0034625216444205825,0.9508399715735683,7.0
0.04112006576886368,0.00313287566624847,0.9511693018771539,7.1
0.04112005498775035,0.002834611543028336,0.9514672785173641,7.2
0.04112004666843478,0.0025647421678045273,0.9517368863425286,7.3
0.041120040248781034,0.002320564671630047,0.9519808260808613,7.4
0.04112003529501345,0.0020996333979615297,0.9522015413770236,7.5
0.04112003147240639,0.0018997354418640985,0.9524012432577716,7.6
0.04112002852266664,0.0017188685117176142,0.9525819322707273,7.7
0.04112002624648065,0.0015552208937558716,0.9527454185172576,7.8
0.04112002449004678,0.001407153320352894,0.9528933397795206,7.9
0.04112002313468306,0.001273182561669195,0.9530271779228094,8.0
0.041120022088807745,0.0011519665772477203,0.953148273737122,8.1
0.041120021281751136,0.0010422910795548188,0.9532578403663734,8.2
0.04112002065898061,0.000943057375435202,0.9533569754595599,8.3
0.041120020178415644,0.0008532713641199947,0.953446672165428,8.4
0.04112001980758451,0.0007720335819114762,0.9535278290806855,8.5
0.04112001952143022,0.0006985301940751869,0.9536012592512881,8.6
0.041120019300617386,0.0006320248438986781,0.9536676983169269,8.7
0.041120019130225706,0.0005718512774165849,0.953727811880234,8.8
0.04112001899874189,0.0005174066700363775,0.9537822021744904,8.9
0.04112001889728149,0.0004681455883030373,0.953831414096602,9.0
0.04112001881898889,0.0004235745263823936,0.9538759406657528,9.1
0.0411200187585739,0.0003832469625839213,0.9539162279624026,9.2
0.04112001871195428,0.00034675888644090176,0.9539526795970894,9.3
0.04112001867597993,0.0003137447515701291,0.9539856607538002,9.4
0.04112001864822011,0.00028387381379132136,0.9540155018484014,9.5
