lambda,rho,t
1,0.05,0.9471493629090553
1,0.1,0.9437589421561405
1,0.15,0.940231091994462
1,0.2,0.9365639564497925
1,0.25,0.9327557262462723
1,0.3,0.9288046341449686
1,0.35,0.9247089501043523
1,0.4,0.9204669762765546
1,0.45,0.9160770418510229
1,0.5,0.911537497754979
1,0.55,0.9068467112178888
1,0.6,0.9020030602049819
1,0.65,0.8970049277227128
1,0.7,0.8918506959969132
1,0.75,0.8865387405222391
1,0.8,0.8810674239793777
1,0.85,0.8754350900142948
1,0.9,0.8696400568716005
1,0.95,0.8636806108718409
1,1.0,0.8575549997201828
1,1.05,0.8512614256315271
1,1.1,0.844798038254529
1,1.15,0.8381629273742993
1,1.2,0.831354115370692
1,1.25,0.8243695494059842
1,1.3,0.8172070933124249
1,1.35,0.8098645191464915
1,1.4,0.8023394983727203
1,1.45,0.794629592635597
1,1.5,0.7867322440731508
1,1.55,0.7786447651205088
1,1.6,0.7703643277456421
1,1.65,0.7618879520527913
1,1.7,0.7532124941814446
1,1.75,0.744334633420157
1,1.8,0.735250858444735
1,1.85,0.7259574525792301
1,1.9,0.7164504779655063
1,1.95,0.7067257585126359
1,2.0,0.696778861480724
1,2.05,0.6866050775345272
1,2.1,0.6761993990800501
1,2.15,0.6655564966715324
1,2.2,0.654670693246284
1,2.25,0.6435359359098517
1,2.3,0.6321457649530609
1,2.35,0.620493279734304
1,2.4,0.6085711010037205
1,2.45,0.5963713291786487
1,2.5,0.5838854979998829
1,2.55,0.5711045229028697
1,2.6,0.5580186433237434
1,2.65,0.5446173580224796
1,2.7,0.5308893523390376
1,2.75,0.5168224160960366
1,2.8,0.5024033506143049
1,2.85,0.4876178630038803
1,2.9,0.4724504455176475
1,2.95,0.45688423728799166
1,3.0,0.4409008651826398
1,3.05,0.424480259779502
1,3.1,0.407600441525525
1,3.15,0.3902372709483186
1,3.2,0.3723641552456506
1,3.25,0.3539517015679835
1,3.3,0.3349673046667093
1,3.35,0.3153746530702981
1,3.4,0.2951331332344207
1,3.45,0.27419710469865455
1,3.5,0.2525150104444426
1,3.55,0.23002827429339534
1,3.6,0.20666991963600556
1,3.65,0.18236281841836188
1,3.7,0.1570174419470024
1,3.75,0.13052892882616374
1,3.8,0.1027731986264746
1,3.85,0.07360170253626919
1,3.9,0.042834260322663575
1,3.95,0.010787863384506435
