lambda,rho,z
1,0.05,0.053381550094520835
1,0.1,0.057356015858905596
1,0.15,0.061522505479796326
1,0.2,0.06588422100527028
1,0.25,0.07044419598960928
1,0.3,0.0752052950338873
1,0.35,0.0801702137964839
1,0.4,0.08534147944176132
1,0.45,0.09072145149629328
1,0.5,0.0963123230832015
1,0.55,0.10211612250632585
1,0.6,0.10813471515710221
1,0.65,0.11436980571816324
1,0.7,0.12082294063877255
1,0.75,0.12749551085828695
1,0.8,0.13438875475487388
1,0.85,0.14150376129772596
1,0.9,0.14884147338198203
1,0.95,0.1564026913265162
1,1.0,0.16418807651566075
1,1.05,0.1721981551668168
1,1.1,0.18043332220676614
1,1.15,0.1888938452403283
1,1.2,0.19757986859581603
1,1.25,0.20649141743253588
1,1.3,0.2156284018963455
1,1.35,0.22499062131003192
1,1.4,0.23457776838600633
1,1.45,0.2443894334495287
1,1.5,0.2544251086613729
1,1.55,0.2646841922295293
1,1.6,0.2751659926002055
1,1.65,0.28586973261904136
1,1.7,0.29679455365408924
1,1.75,0.3079395196727284
1,1.8,0.3193036212652911
1,1.85,0.3308857796087572
1,1.9,0.34268485036445
1,1.95,0.35469962750421913
1,2.0,0.3669288470601198
1,2.05,0.37937119079313075
1,2.1,0.3920252897769335
1,2.15,0.4048897278932655
1,2.2,0.4179630452358112
1,2.25,0.43124374142004124
1,2.3,0.44473027879681776
1,2.35,0.45842108556799693
1,2.4,0.4723145588026288
1,2.45,0.4864090673527157
1,2.5,0.5007029546678332
1,2.55,0.515194541508232
1,2.6,0.5298821285563395
1,2.65,0.544763998926865
1,2.7,0.5598384205759593
1,2.75,0.5751036486101436
1,2.8,0.5905579274959204
1,2.85,0.6061994931712043
1,2.9,0.6220265750598877
1,2.95,0.6380373979910372
1,3.0,0.6542301840243512
1,3.05,0.6706031541836791
1,3.1,0.6871545301004961
1,3.15,0.7038825355693511
1,3.2,0.7207853980174038
1,3.25,0.7378613498902414
1,3.3,0.7551086299562333
1,3.35,0.7725254845317487
1,3.4,0.7901101686296051
1,3.45,0.8078609470331419
1,3.5,0.8257760952983558
1,3.55,0.843853900686541
1,3.6,0.8620926630298822
1,3.65,0.8804906955324618
1,3.7,0.8990463255091202
1,3.75,0.9177578950646079
1,3.8,0.9366237617154374
1,3.85,0.9556422989514878
1,3.9,0.9748118288913413
1,3.95,0.993808712184565
