lambda,rho,t
0.1,4,0.0
0.2,4,0.0
0.3,4,2.220446049250313e-16
0.4,4,0.0
0.5,4,0.0
0.6,4,0.0
0.7,4,2.220446049250313e-16
0.8,4,7.771561172376096e-16
0.9,4,1.3322676295501878e-15
1.0,4,2.628171916407851e-05
1.1,4,0.20569856229999095
1.2,4,0.35459851388965835
1.3,4,0.4602452689154539
1.4,4,0.5391732987364322
1.5,4,0.600223572665896
1.6,4,0.648675968613349
1.7,4,0.6879147220912749
1.8,4,0.7202202021178343
1.9,4,0.7471880246989753
2.0,4,0.7699684256627606
2.1,4,0.7894109922156043
2.2,4,0.8061561588500152
2.3,4,0.8206951684762399
2.4,4,0.8334105568445882
2.5,4,0.8446041846998665
2.6,4,0.8545170731012844
2.7,4,0.8633437064102261
2.8,4,0.8712425191923109
2.9,4,0.8783437000068937
3.0,4,0.8847550763407953
3.1,4,0.8905666061953323
3.2,4,0.8958538439183188
3.3,4,0.9006806414132724
3.4,4,0.9051012728484124
3.5,4,0.9091621201345755
3.6,4,0.9129030205151984
3.7,4,0.9163583518999378
3.8,4,0.9195579129512697
3.9,4,0.9225276412962251
4.0,4,0.9252902031461507
4.1,4,0.9278654800716036
4.2,4,0.9302709730006938
4.3,4,0.9325221391940407
4.4,4,0.9346326746448735
4.5,4,0.9366147518033825
4.6,4,0.9384792205439771
4.7,4,0.9402357787455605
4.8,4,0.9418931176365672
4.9,4,0.9434590460923205
5.0,4,0.9449405973049205
5.1,4,0.9463441206319976
5.2,4,0.9476753609370222
5.3,4,0.9489395273350487
5.4,4,0.9501413529340362
5.5,4,0.9512851468979855
5.6,4,0.9523748399420637
5.7,4,0.9534140241922957
5.8,4,0.9544059881958531
5.9,4,0.9553537477466048
6.0,4,0.9562600730897094
6.1,4,0.9571275129849006
6.2,4,0.9579584160377118
6.3,4,0.9587549496487945
6.4,4,0.9595191168817272
6.5,4,0.9602527715076928
6.6,4,0.9609576314498205
6.7,4,0.9616352908197673
6.8,4,0.9622872307133901
6.9,4,0.9629148289103922
7.0,4,0.9635193686040333
7.1,4,0.9641020462708719
7.2,4,0.9646639787766403
7.3,4,0.965206209802413
7.4,4,0.9657297156649045
7.5,4,0.9662354105958071
7.6,4,0.9667241515373316
7.7,4,0.9671967425043853
7.8,4,0.9676539385579588
7.9,4,0.9680964494291842
8.0,4,0.9685249428290532
8.1,4,0.9689400474748796
8.2,4,0.9693423558611489
8.3,4,0.9697324267993936
8.4,4,0.970110787749072
8.5,4,0.9704779369590906
8.6,4,0.9708343454375503
8.7,4,0.9711804587654647
8.8,4,0.9715166987685834
8.9,4,0.9718434650600238
9.0,4,0.972161136465134
9.1,4,0.9724700723388815
9.2,4,0.9727706137850525
9.3,4,0.9730630847856457
9.4,4,0.973347793248043
9.5,4,0.9736250319768163
9.6,4,0.9738950795763944
9.7,4,0.9741582012902295
9.8,4,0.9744146497815868
9.9,4,0.9746646658606232
