lambda,rho,z
0.1,4,1.0
0.2,4,1.0
0.3,4,1.0
0.4,4,1.0
0.5,4,0.9999999999999999
0.6,4,0.9999999999999999
0.7,4,0.9999999999999999
0.8,4,0.9999999999999998
0.9,4,0.9999999999999994
1.0,4,0.999984595829406
1.1,4,0.8689868035346177
1.2,4,0.7544631487558028
1.3,4,0.6621053834259012
1.4,4,0.5864639769971828
1.5,4,0.5236830190870528
1.6,4,0.47096775043963707
1.7,4,0.42624991480738333
1.8,4,0.3879707877412069
1.9,4,0.3549366378286947
2.0,4,0.3262201197528725
2.1,4,0.30109156873693094
2.2,4,0.2789702195263553
2.3,4,0.2593889814047674
2.4,4,0.2419686107961257
2.5,4,0.2263985100401853
2.6,4,0.21242227080182677
2.7,4,0.199826663001779
2.8,4,0.1884331583603232
2.9,4,0.17809134074295851
3.0,4,0.1686737365581186
3.1,4,0.16007172483441084
3.2,4,0.15219227597472432
3.3,4,0.14495533215543538
3.4,4,0.1382916886492577
3.5,4,0.13214126923073768
3.6,4,0.12645171385570078
3.7,4,0.12117721547251445
3.8,4,0.11627755686398934
3.9,4,0.11171730906694255
4.0,4,0.10746516105411133
4.1,4,0.103493356627563
4.2,4,0.09977721932848078
4.3,4,0.09629474995662883
4.4,4,0.09302628426685984
4.5,4,0.08995420075854754
4.6,4,0.08706267033877696
4.7,4,0.08433744112899695
4.8,4,0.08176565287951992
4.9,4,0.07933567641953904
5.0,4,0.07703697435066342
5.1,4,0.07485997982688633
5.2,4,0.07279599078272755
5.3,4,0.07083707739696152
5.4,4,0.06897600092996747
5.5,4,0.06720614236263202
5.6,4,0.06552143950527639
5.7,4,0.06391633144537952
5.8,4,0.06238570937020392
5.9,4,0.06092487294068599
6.0,4,0.059529491510874395
6.1,4,0.058195569586638914
6.2,4,0.05691941600147497
6.3,4,0.0556976163585514
6.4,4,0.05452700834880399
6.5,4,0.05340465960659335
6.6,4,0.05232784780864795
6.7,4,0.05129404275989238
6.8,4,0.05030089024229479
6.9,4,0.049346197430872527
7.0,4,0.04842791970516411
7.1,4,0.047544148705366863
7.2,4,0.04669310150044869
7.3,4,0.04587311075126059
7.4,4,0.04508261576535424
7.5,4,0.04432015435213166
7.6,4,0.04358435539736243
7.7,4,0.04287393208521655
7.8,4,0.0421876757039414
7.9,4,0.04152444997832158
8.0,4,0.04088318587822668
8.1,4,0.040262876857977845
8.2,4,0.03966257448606017
8.3,4,0.039081384428937826
8.4,4,0.03851846275647724
8.5,4,0.03797301253980612
8.6,4,0.03744428071538069
8.7,4,0.03693155519165792
8.8,4,0.03643416217709851
8.9,4,0.03595146371030743
9.0,4,0.035482855374973164
9.1,4,0.03502776418392543
9.2,4,0.034585646618114495
9.3,4,0.03415598680764383
9.4,4,0.03373829484318126
9.5,4,0.03333210520714285
9.6,4,0.032936975315006875
9.7,4,0.03255248415798196
9.8,4,0.032178231039033056
9.9,4,0.031813834394973685
