lambda,rho,prop
0.0,4,0.0
0.1,4,0.024525364812086312
0.2,4,0.04892466035541803
0.3,4,0.07308003681917126
0.4,4,0.09689789709093548
0.5,4,0.12030481993983061
0.6,4,0.14324414566226878
0.7,4,0.1656731156308243
0.8,4,0.1875604753911879
0.9,4,0.20888446601648183
1.0,4,0.229631140910171
1.1,4,0.2497929556042959
1.2,4,0.2693675867018061
1.3,4,0.28835694326606187
1.4,4,0.3067663399178963
1.5,4,0.3246038058670762
1.6,4,0.3418795082500958
1.7,4,0.3586052716096759
1.8,4,0.3747941782483326
1.9,4,0.3904602366140927
2.0,4,0.4056181069096093
2.1,4,0.42028287482170723
2.2,4,0.4344698657008648
2.3,4,0.4481944927241432
2.4,4,0.46147213358792727
2.5,4,0.47431803112957727
2.6,4,0.48674721399555654
2.7,4,0.49877443407938543
2.8,4,0.5104141179638775
2.9,4,0.5216803300336033
3.0,4,0.5325867452880133
3.1,4,0.5431466301936803
3.2,4,0.553372830174563
3.3,4,0.5632777625594791
3.4,4,0.5728734139923454
3.5,4,0.5821713414684762
3.6,4,0.5911826762937287
3.7,4,0.5999181303762872
3.8,4,0.608388004356535
3.9,4,0.6166021971614235
4.0,4,0.6245702166382545
4.1,4,0.6323011909807444
4.2,4,0.6398038807092468
4.3,4,0.6470866910084073
4.4,4,0.6541576842605112
4.5,4,0.6610245926422613
4.6,4,0.667694830677611
4.7,4,0.674175507660184
4.8,4,0.6804734398764046
4.9,4,0.6865951625752135
5.0,4,0.6925469416425809
5.1,4,0.6983347849493464
5.2,4,0.7039644533494847
5.3,4,0.7094414713130099
5.4,4,0.7147711371836173
5.5,4,0.7199585330559715
5.6,4,0.7250085342715138
5.7,4,0.7299258185348386
5.8,4,0.7347148746552663
5.9,4,0.7393800109202797
6.0,4,0.7439253631090728
6.1,4,0.7483549021557041
6.2,4,0.7526724414722382
6.3,4,0.7568816439429251
6.4,4,0.7609860286009109
6.5,4,0.7649889769992199
6.6,4,0.768893739287894
6.7,4,0.772703440009149
6.8,4,0.7764210836223302
6.9,4,0.7800495597702798
7.0,4,0.78359164829848
7.1,4,0.7870500240380847
7.2,4,0.7904272613636133
7.3,4,0.7937258385357586
7.4,4,0.7969481418393943
7.5,4,0.800096469526498
7.6,4,0.8031730355733325
7.7,4,0.8061799732608483
7.8,4,0.8091193385868877
7.9,4,0.8119931135184072
8.0,4,0.8148032090915552
8.1,4,0.8175514683670968
8.2,4,0.820239669248318
8.3,4,0.8228695271682062
8.4,4,0.8254426976523785
8.5,4,0.8279607787639122
8.6,4,0.8304253134359232
8.7,4,0.8328377916974621
8.8,4,0.8351996527979976
8.9,4,0.83751228723551
9.0,4,0.8397770386929513
9.1,4,0.8419952058875869
9.2,4,0.8441680443375094
9.3,4,0.846296768049387
9.4,4,0.8483825511313032
9.5,4,0.8504265293343484
9.6,4,0.8524298015264274
9.7,4,0.8543934311015778
9.8,4,0.8563184473279155
9.9,4,0.8582058466371683
1,0.0,0.6321205588285578
1,0.1,0.6276880183513261
1,0.2,0.6198389942150704
1,0.3,0.6094618755151163
1,0.4,0.5972551079363474
1,0.5,0.5837666895845081
1,0.6,0.5694253820002955
1,0.7,0.5545654056953188
1,0.8,0.5394460044109215
1,0.9,0.524266962488246
1,1.0,0.5091809260511388
1,1.1,0.49430319632173514
1,1.2,0.47971952085947284
1,1.3,0.465492296979201
1,1.4,0.4516655142030611
1,1.5,0.438268694016114
1,1.6,0.42532003130000656
1,1.7,0.41282889940551143
1,1.8,0.4007978473988046
1,1.9,0.3892241916348088
1,2.0,0.37810128295851003
1,2.1,0.36741951432861
1,2.2,0.35716712057209166
1,2.3,0.34733081158894313
1,2.4,0.33789627206559114
1,2.5,0.3288485541777762
1,2.6,0.32017238451820945
1,2.7,0.3118524022955088
1,2.8,0.30387334250110504
1,2.9,0.2962201750583122
1,3.0,0.28887820881676984
1,3.1,0.28183316752847837
1,3.2,0.27507124355336693
1,3.3,0.26857913392504407
1,3.4,0.2623440625071969
1,3.5,0.25635379124511765
1,3.6,0.2505966229307946
1,3.7,0.2450613974265579
1,3.8,0.2397374829095215
1,3.9,0.23461476338946202
1,4.0,0.22968362350225263
1,4.1,0.22493493137819676
1,4.2,0.22036002022048412
1,4.3,0.21595066909617391
1,4.4,0.21169908333467313
1,4.5,0.20759787484184083
1,4.6,0.203640042567729
1,4.7,0.19981895330944055
1,4.8,0.19612832298509084
1,4.9,0.19256219847834383
1,5.0,0.1891149401237723
1,5.1,0.18578120488000202
1,5.2,0.1825559302191298
1,5.3,0.17943431874634647
1,5.4,0.1764118235523165
1,5.5,0.17348413429205367
1,5.6,0.17064716397730778
1,5.7,0.16789703646442797
1,5.8,0.16523007461597553
1,5.9,0.1626427891117496
1,6.0,0.16013186788314934
1,6.1,0.15769416614374487
1,6.2,0.15532669698842444
1,6.3,0.15302662253340474
1,6.4,0.15079124556964602
1,6.5,0.14861800170271763
1,6.6,0.14650445195285544
