lambda,rho,z
1,0.025,0.11148515825264824
1,0.05,0.11568797261594939
1,0.075,0.11996314051704648
1,0.1,0.12431011348249368
1,0.125,0.12872834404310973
1,0.15,0.13321728619932993
1,0.175,0.1377763958418353
1,0.2,0.14240513113112274
1,0.225,0.1471029528393874
1,0.25,0.1518693246578182
1,0.275,0.1567037134721528
1,0.3,0.16160558960911664
1,0.325,0.16657442705615153
1,0.35,0.17160970365665018
1,0.375,0.17671090128273526
1,0.4,0.18187750598745114
1,0.425,0.1871090081380947
1,0.45,0.19240490253226558
1,0.475,0.197764688498093
1,0.5,0.20318786997998
1,0.525,0.20867395561109256
1,0.55,0.21422245877373122
1,0.575,0.21983289764862413
1,0.6,0.22550479525410058
1,0.625,0.23123767947602802
1,0.65,0.23703108308932327
1,0.675,0.2428845437717823
1,0.7,0.2487976041109196
1,0.725,0.2547698116044432
1,0.75,0.26080071865495164
1,0.775,0.2668898825593861
1,0.8,0.27303686549372624
1,0.825,0.27924123449338767
1,0.85,0.2855025614297342
1,0.875,0.2918204229830878
1,0.9,0.2981944006125906
1,0.925,0.3046240805232392
1,0.95,0.3111090536303933
1,0.975,0.3176489155220288
1,1.0,0.3242432664189885
1,1.025,0.33089171113346366
1,1.05,0.33759385902591327
1,1.075,0.34434932396062234
1,1.1,0.3511577242600738
1,1.125,0.35801868265830017
1,1.15,0.36493182625336623
1,1.175,0.371896786459118
1,1.2,0.378913198956329
1,1.225,0.38598070364335557
1,1.25,0.39309894458640965
1,1.275,0.4002675699695446
1,1.3,0.4074862320444454
1,1.325,0.41475458708009927
1,1.35,0.4220722953124258
1,1.375,0.42943902089392955
1,1.4,0.4368544318434399
1,1.425,0.4443181999959888
1,1.45,0.4518300009528827
1,1.475,0.4593895140320085
1,1.5,0.46699642221841925
1,1.525,0.47465041211523457
1,1.55,0.48235117389488885
1,1.575,0.49009840125075804
1,1.6,0.4978917913491904
1,1.625,0.5057310447819707
1,1.65,0.5136158655192297
1,1.675,0.5215459608628225
1,1.7,0.5295210414001982
1,1.725,0.5375408209587605
1,1.75,0.5456050165607491
1,1.775,0.5537133483786362
1,1.8,0.5618655396910602
1,1.825,0.570061316839293
1,1.85,0.5783004091842572
1,1.875,0.5865825490640875
1,1.9,0.5949074717522435
1,1.925,0.6032749154161726
1,1.95,0.6116846210765117
1,1.975,0.6201363325668172
1,2.0,0.6286297964937857
1,2.025,0.6371647621978923
1,2.05,0.6457409817143132
1,2.075,0.6543582097338629
1,2.1,0.663016203563422
1,2.125,0.6717147230848718
1,2.15,0.680453530710659
1,2.175,0.689232391332484
1,2.2,0.698051072256611
1,2.225,0.7069093431138348
1,2.25,0.7158069757223745
1,2.275,0.7247437438645011
1,2.3,0.7337194229070327
1,2.325,0.7427337891423175
1,2.35,0.7517866186341036
1,2.375,0.7608776851955504
1,2.4,0.7700067568619365
1,2.425,0.7791735897805682
1,2.45,0.7883779177184718
1,2.475,0.797619434221888
1,2.5,0.8068977626074819
1,2.525,0.8162124060738669
1,2.55,0.8255626658127296
1,2.575,0.8349475084540839
1,2.6,0.8443653547922877
1,2.625,0.8538137488728721
1,2.65,0.8632888499986128
1,2.675,0.8727846710993259
1,2.7,0.88229196888327
1,2.725,0.8917966826721452
1,2.75,0.9012778356559803
1,2.775,0.910704879797299
1,2.8,0.92003461686875
1,2.825,0.9292080927715448
1,2.85,0.9381482384180803
1,2.875,0.9467594378977425
1,2.9,0.954930439442784
1,2.925,0.9625417716385004
1,2.95,0.9694778081293912
1,2.975,0.9756418909396026
1,3.0,0.9809711098551052
1,3.025,0.9854465157629717
1,3.05,0.9890955364386146
1,3.075,0.9919859433661502
1,3.1,0.9942135815386477
1,3.125,0.9958877383970975
1,3.15,0.9971178889114338
1,3.175,0.9980041230578129
1,3.2,0.9986318482654325
1,3.225,0.9990701256178027
1,3.25,0.9993724716048457
1,3.275,0.999578975261749
1,3.3,0.9997188654385871
1,3.325,0.9998129965975897
1,3.35,0.9998759925902484
1,3.375,0.9999179667800511
1,3.4,0.9999458358125414
1,3.425,0.9999642880167987
1,3.45,0.9999764786239441
1,3.475,0.9999845189504434
1,3.5,0.9999898153190456
1,3.525,0.9999933010551717
1,3.55,0.9999955937915506
1,3.575,0.9999971013309858
1,3.6,0.9999980924672128
1,3.625,0.9999987441400057
1,3.65,0.9999991727155741
1,3.675,0.9999994546753788
1,3.7,0.9999996402682264
1,3.725,0.9999997625030351
1,3.75,0.9999998430645642
1,3.775,0.9999998962012088
1,3.8,0.9999999312783617
1,3.825,0.9999999544546959
1,3.85,0.9999999697824499
1,3.875,0.9999999799296452
1,3.9,0.9999999866542241
1,3.925,0.9999999911154219
1,3.95,0.9999999940783351
1,3.975,0.9999999960483955
