lambda,rho,u
1,0.05,0.27063315271244903
1,0.1,0.27620772455411163
1,0.15,0.28204045716028947
1,0.2,0.28813395670604874
1,0.25,0.2944901027253563
1,0.3,0.30111012058686826
1,0.35,0.3079946516500942
1,0.4,0.3151438197405136
1,0.45,0.3225572931255342
1,0.5,0.33023434157466725
1,0.55,0.3381738883747329
1,0.6,0.34637455736952244
1,0.65,0.3548347152245297
1,0.7,0.3635525091985409
1,0.75,0.3725259007488456
1,0.8,0.3817526953161429
1,0.85,0.39123056863691835
1,0.9,0.4009570899210704
1,0.95,0.41092974221520934
1,1.0,0.4211459402504385
1,1.05,0.43160304604973193
1,1.1,0.44229838254575915
1,1.15,0.45322924543613835
1,1.2,0.46439291348030637
1,1.25,0.4757866574207958
1,1.3,0.48740774769198353
1,1.35,0.4992534610612854
1,1.4,0.5113210863314397
1,1.45,0.5236079292177649
1,1.5,0.5361113165010798
1,1.55,0.5488285995451984
1,1.6,0.5617571572574368
1,1.65,0.5748943985612495
1,1.7,0.5882377644419312
1,1.75,0.6017847296189883
1,1.8,0.6155328038924138
1,1.85,0.6294795332043935
1,1.9,0.6436225004530164
1,1.95,0.6579593260901225
1,2.0,0.6724876685315935
1,2.05,0.6872052244049429
1,2.1,0.7021097286560882
1,2.15,0.7171989545345233
1,2.2,0.732470713473819
1,2.25,0.7479228548822711
1,2.3,0.7635532658567935
1,2.35,0.7793598708314883
1,2.4,0.7953406311709762
1,2.45,0.8114935447173367
1,2.5,0.827816645298373
1,2.55,0.8443080022040524
1,2.6,0.860965719637013
1,2.65,0.8777879361423935
1,2.7,0.8947728240215201
1,2.75,0.911918588733432
1,2.8,0.9292234682876859
1,2.85,0.9466857326315296
1,2.9,0.9643036829855681
1,2.95,0.9820749357323009
1,3.0,0.9982095688331081
1,3.05,0.9999991762654838
1,3.1,0.9999999999164317
1,3.15,0.9999999999999954
1,3.2,0.9999999999999986
1,3.25,0.9999999999999987
1,3.3,0.9999999999999986
1,3.35,0.9999999999999987
1,3.4,0.9999999999999987
1,3.45,0.9999999999999984
1,3.5,0.9999999999999984
1,3.55,1.0000000000000004
1,3.6,1.0000000000000004
1,3.65,1.0000000000000004
1,3.7,1.0000000000000004
1,3.75,1.0000000000000004
1,3.8,1.0000000000000004
1,3.85,1.0000000000000004
1,3.9,1.0000000000000004
1,3.95,1.0000000000000004
