lambda,rho,t
1,0.1,0.8778110679426304
1,0.2,0.8621369407962048
1,0.3,0.8456347932707369
1,0.4,0.8283131273639609
1,0.5,0.810176567086117
1,0.6,0.7912258881987833
1,0.7,0.7714580235991912
1,0.8,0.7508660347777582
1,0.9,0.7294390415576244
1,1.0,0.7071621029394499
1,1.1,0.684016041589995
1,1.2,0.6599772034606226
1,1.3,0.6350171422283539
1,1.4,0.6091022156519359
1,1.5,0.5821930773690694
1,1.6,0.5542440428582653
1,1.7,0.5252023018340566
1,1.8,0.4950069406168036
1,1.9,0.4635877260949782
1,2.0,0.430863586395668
1,2.1,0.39674070019746377
1,2.2,0.36111007351203517
1,2.3,0.32384443460499635
1,2.4,0.28479420625583196
1,2.5,0.24378220607766854
1,2.6,0.2005965567842084
1,2.7,0.15498101797916009
1,2.8,0.10662150408021864
1,2.9,0.055126786057129396
1,3.0,0.002830586261609702
1,3.1,1.316637909809515e-10
1,3.2,3.1086244689504383e-15
1,3.3,6.661338147750939e-16
1,3.4,5.551115123125783e-16
1,3.5,1.4432899320127035e-15
1,3.6,1.1102230246251565e-15
1,3.7,1.1102230246251565e-15
1,3.8,7.771561172376096e-16
1,3.9,7.771561172376096e-16
1,4.0,7.771561172376096e-16
1,4.1,2.220446049250313e-16
1,4.2,3.3306690738754696e-16
1,4.3,4.440892098500626e-16
1,4.4,4.440892098500626e-16
1,4.5,4.440892098500626e-16
1,4.6,4.440892098500626e-16
1,4.7,4.440892098500626e-16
1,4.8,4.440892098500626e-16
1,4.9,4.440892098500626e-16
1,5.0,0.0
1,5.1,4.440892098500626e-16
1,5.2,0.0
1,5.3,4.440892098500626e-16
1,5.4,4.440892098500626e-16
1,5.5,4.440892098500626e-16
1,5.6,4.440892098500626e-16
1,5.7,4.440892098500626e-16
1,5.8,4.440892098500626e-16
1,5.9,4.440892098500626e-16
1,6.0,0.0
1,6.1,0.0
1,6.2,0.0
1,6.3,0.0
1,6.4,0.0
1,6.5,0.0
1,6.6,0.0
1,6.7,2.220446049250313e-16
1,6.8,0.0
1,6.9,2.220446049250313e-16
1,7.0,2.220446049250313e-16
1,7.1,2.220446049250313e-16
1,7.2,0.0
1,7.3,0.0
1,7.4,2.220446049250313e-16
1,7.5,0.0
1,7.6,2.220446049250313e-16
1,7.7,2.220446049250313e-16
1,7.8,0.0
1,7.9,0.0
