lambda,rho,u
0.1,0,0.9999999999999998
0.2,0,0.9999999980984564
0.3,0,0.8394604184690988
0.4,0,0.6370216508934641
0.5,0,0.5143776185213644
0.6,0,0.4319984790464243
0.7,0,0.3727966871529083
0.8,0,0.32816890283877925
0.9,0,0.2933074982919075
1.0,0,0.26531333609771934
1.1,0,0.24233333703534793
1.2,0,0.22312724503280307
1.3,0,0.20683337728257498
1.4,0,0.1928342669065007
1.5,0,0.18067577485132444
1.6,0,0.1700163776080535
1.7,0,0.16059425928942755
1.8,0,0.1522053146813349
1.9,0,0.14468806141481502
2.0,0,0.13791305401121676
2.1,0,0.13177530603596785
2.2,0,0.12618876764744022
2.3,0,0.12108223588949917
2.4,0,0.11639628179495251
2.5,0,0.11208091092811481
2.6,0,0.10809376083163147
2.7,0,0.10439869683726333
2.8,0,0.10096470712075159
2.9,0,0.09776502511158992
3.0,0,0.09477642645971013
3.1,0,0.09197866132989362
3.2,0,0.08935399256128453
3.3,0,0.08688681734212579
3.4,0,0.0845633552867427
3.5,0,0.08237138969704316
3.6,0,0.08030005171584263
3.7,0,0.07833963929550233
3.8,0,0.0764814645986128
3.9,0,0.07471772475139916
4.0,0,0.07304139188217333
4.1,0,0.07144611916756045
4.2,0,0.0699261602308874
4.3,0,0.06847629972914912
4.4,0,0.06709179335672665
4.5,0,0.06576831580772897
4.6,0,0.06450191549137886
4.7,0,0.06328897499923014
4.8,0,0.06212617648919239
4.9,0,0.061010471287117445
5.0,0,0.05993905311812776
5.1,0,0.058909334471702365
5.2,0,0.05791892568053571
5.3,0,0.05696561635632399
5.4,0,0.05604735887828936
5.5,0,0.05516225367432324
5.6,0,0.0543085360716413
5.7,0,0.053484564525034854
5.8,0,0.052688810057168425
5.9,0,0.05191984676773566
6.0,0,0.05117634328730089
6.1,0,0.05045705506787729
6.2,0,0.049760817416167516
6.3,0,0.04908653918729217
6.4,0,0.04843319706706493
6.5,0,0.047799830379693445
6.6,0,0.04718553636540719
6.7,0,0.04658946587911587
6.8,0,0.04601081946693172
6.9,0,0.045448843782376736
7.0,0,0.04490282830844202
7.1,0,0.04437210235546458
7.2,0,0.04385603230811251
7.3,0,0.04335401909768512
7.4,0,0.042865495878497854
7.5,0,0.04238992588937806
7.6,0,0.041926800483288014
7.7,0,0.04147563730984931
7.8,0,0.041035978637099534
7.9,0,0.040607389800190484
8.0,0,0.04018945776596313
8.1,0,0.03978178980342229
8.2,0,0.03938401225110493
8.3,0,0.03899576937320029
8.4,0,0.038616722297053666
8.5,0,0.03824654802537559
8.6,0,0.03788493851709844
8.7,0,0.03753159983137688
8.8,0,0.03718625132972748
8.9,0,0.03684862493175117
9.0,0,0.03651846442028587
9.1,0,0.03619552479220032
9.2,0,0.03587957165136876
9.3,0,0.03557038064066265
9.4,0,0.03526773691006406
9.5,0,0.03497143461824814
9.6,0,0.034681276465203
9.7,0,0.034397073253654445
9.8,0,0.034118643477245456
9.9,0,0.03384581293358476
