lambda,rho,z
0.05,4,1.0
0.1,4,1.0
0.15,4,1.0
0.2,4,1.0
0.25,4,1.0
0.3,4,1.0
0.35,4,1.0
0.4,4,1.0
0.45,4,1.0
0.5,4,1.0
0.55,4,1.0
0.6,4,0.9999999999999999
0.65,4,0.9999999999999999
0.7,4,0.9999999999999999
0.75,4,0.9999999999999999
0.8,4,0.9999999999999999
0.85,4,0.9999999999999999
0.9,4,0.9999999999999998
0.95,4,0.9999999999999998
1.0,4,0.9999999999999998
1.05,4,0.9999999999999997
1.1,4,0.9999999999999994
1.15,4,0.9999999999999992
1.2,4,0.9999999999999983
1.25,4,0.9980116452021196
1.3,4,0.9390992701190516
1.35,4,0.8838701519343164
1.4,4,0.8336151904029533
1.45,4,0.7877425519134682
1.5,4,0.7457471723084582
1.55,4,0.7071957524892328
1.6,4,0.6717147232143292
1.65,4,0.6389805213189853
1.7,4,0.6087116800216618
1.75,4,0.5806623538902611
1.8,4,0.5546169865438704
1.85,4,0.530385894705112
1.9,4,0.507801591732149
1.95,4,0.4867157114716558
2.0,4,0.46699642221841925
2.05,4,0.44852624294345483
2.1,4,0.4312001913698726
2.15,4,0.4149242071213415
2.2,4,0.3996138039245975
2.25,4,0.3851929133764289
2.3,4,0.37159288958591485
2.35,4,0.35875164945360294
2.4,4,0.3466129277406505
2.45,4,0.33512562963579207
2.5,4,0.3242432664189885
2.55,4,0.31392346218208006
2.6,4,0.30412752150390404
2.65,4,0.2948200495727915
2.7,4,0.28596861756854475
2.75,4,0.2775434672108026
2.8,4,0.2695172492925679
2.85,4,0.2618647917797729
2.9,4,0.2545628936968305
2.95,4,0.24759014155570244
3.0,4,0.24092674553967042
3.05,4,0.23455439303689904
3.1,4,0.22845611744476055
3.15,4,0.22261618044322187
3.2,4,0.21701996617227537
3.25,4,0.2116538859509065
3.3,4,0.20650529234877577
3.35,4,0.201562401571149
3.4,4,0.19681422324631515
3.45,4,0.19225049681591105
3.5,4,0.18786163382482943
3.55,4,0.18363866549087726
3.6,4,0.17957319500695101
3.65,4,0.17565735409172645
3.7,4,0.17188376336005048
3.75,4,0.16824549613249148
3.8,4,0.16473604534577754
3.85,4,0.16134929326296937
3.9,4,0.1580794837148358
3.95,4,0.15492119663262993
4.0,4,0.1518693246578182
4.05,4,0.14891905163669905
4.1,4,0.14606583282767527
4.15,4,0.14330537666650145
4.2,4,0.14063362795042436
4.25,4,0.13804675231598915
4.3,4,0.13554112189762377
4.35,4,0.13311330206510896
4.4,4,0.1307600391478599
4.45,4,0.12847824906271543
4.5,4,0.12626500676978739
4.55,4,0.12411753648795422
4.6,4,0.12203320260789727
4.65,4,0.12000950124624898
4.7,4,0.11804405238951815
4.75,4,0.11613459258105244
4.8,4,0.11427896810843248
4.85,4,0.11247512865242915
4.9,4,0.11072112136202608
4.95,4,0.10901508532305948
5.0,4,0.10735524639079089
5.05,4,0.10573991235922638
5.1,4,0.10416746844226794
5.15,4,0.10263637304384117
5.2,4,0.1011451537960148
5.25,4,0.09969240384583306
5.3,4,0.09827677837312906
5.35,4,0.09689699132300328
5.4,4,0.0955518123379356
5.45,4,0.09424006387568072
5.5,4,0.09296061850016688
5.55,4,0.09171239633360193
5.6,4,0.09049436265889127
5.65,4,0.08930552566229362
5.7,4,0.08814493430699578
5.75,4,0.08701167632898182
5.8,4,0.08590487634720333
5.85,4,0.08482369408064709
5.9,4,0.08376732266542782
5.95,4,0.08273498706553016
6.0,4,0.08172594257127906
6.05,4,0.08073947338003347
6.1,4,0.07977489125398936
6.15,4,0.07883153425032839
6.2,4,0.07790876551928229
6.25,4,0.07700597216598327
6.3,4,0.07612256417225377
6.35,4,0.07525797337474707
6.4,4,0.07441165249609157
6.45,4,0.07358307422591216
6.5,4,0.07277173034881199
6.55,4,0.07197713091658331
6.6,4,0.07119880346210095
6.65,4,0.07043629225250814
6.7,4,0.06968915757946446
6.75,4,0.06895697508436338
6.8,4,0.06823933511656012
6.85,4,0.06753584212277428
6.9,4,0.06684611406594443
6.95,4,0.06616978187191987
7.0,4,0.06550648890247145
7.05,4,0.0648558904532004
7.1,4,0.06421765327500402
7.15,4,0.06359145511784427
7.2,4,0.06297698429563424
7.25,4,0.06237393927113231
7.3,4,0.0617820282597967
7.35,4,0.06120096885161541
7.4,4,0.06063048764998389
7.45,4,0.06007031992675532
7.5,4,0.059520209292640375
7.55,4,0.05897990738217896
7.6,4,0.058449173552550575
7.65,4,0.05792777459553235
7.7,4,0.057415484461950786
7.75,4,0.05691208399801124
7.8,4,0.05641736069292191
7.85,4,0.055931108437262476
7.9,4,0.05545312729157582
7.95,4,0.05498322326469141
8.0,4,0.0545212081013138
8.05,4,0.05406689907843641
8.1,4,0.05362011881016189
8.15,4,0.05318069506053546
8.2,4,0.052748460564015165
8.25,4,0.052323252853225775
8.3,4,0.05190491409365879
8.35,4,0.05149329092500013
8.4,4,0.05108823430878296
8.45,4,0.05068959938207859
8.5,4,0.05029724531695254
8.55,4,0.04991103518542767
8.6,4,0.04953083582970842
8.65,4,0.04915651773743236
8.7,4,0.0487879549217281
8.75,4,0.04842502480586766
8.8,4,0.048067608112313705
8.85,4,0.047715588755970574
8.9,4,0.047368853741457224
8.95,4,0.047027293064230695
9.0,4,0.046690799615394254
9.05,4,0.04635926909003505
9.1,4,0.046032599898941075
9.15,4,0.045710693083556686
9.2,4,0.04539345223404008
9.25,4,0.04508078341029484
9.3,4,0.04477259506585217
9.35,4,0.04446879797448636
9.4,4,0.044169305159451944
9.45,4,0.043874031825235756
9.5,4,0.043582895291722
9.55,4,0.043295814930673006
9.6,4,0.04301271210443304
9.65,4,0.04273351010676643
9.7,4,0.0424581341057453
9.75,4,0.0421865110886056
9.8,4,0.041918569808495024
9.85,4,0.04165424073303791
9.9,4,0.04139345599464691
9.95,4,0.04113614934251367
