S,I,R,theta,t
0.9999949985125133,5.001487486722134e-06,5.001487486722134e-10,0.9999989997000012,0.0
0.9999932490175515,6.194611157694929e-06,5.569907519058733e-07,0.9999986497989527,0.1
0.9999908875655613,7.85802455782747e-06,1.2551956833400596e-06,0.9999981775048086,0.2
0.999987700105785,1.0151186064066842e-05,2.149723269578151e-06,0.9999975400060281,0.3
0.9999833977216613,1.328980433734639e-05,3.3138029817705815e-06,0.9999966795167684,0.4
0.9999775904501034,1.7565462762880735e-05,4.845843680009434e-06,0.9999955180398011,0.5
0.9999697519487193,2.3372107758157235e-05,6.878280733330896e-06,0.9999939502982476,0.6
0.9999591718144107,3.124179739066868e-05,9.589512378376095e-06,0.9999918341961835,0.7
0.9999448912427683,4.1892941489596325e-05,1.3220005036195e-05,0.999988977944845,0.8
0.9999256162169348,5.629538868756612e-05,1.8094023916505532e-05,0.9999851226900648,0.9
0.999899600395042,7.575822804362087e-05,2.46489527371781e-05,0.9999799190709329,1.0
0.99986448715054,0.00010204820442105689,3.3474849859355495e-05,0.9999728955935688,1.1
0.9998170965740295,0.00013754937306176274,4.536780784604268e-05,0.9999634159690316,1.2
0.9997531383616354,0.00018547826642356657,6.140191976769624e-05,0.9999506215772571,1.3
0.9996668249873515,0.000250173715085511,8.30263149345145e-05,0.9999333538944452,1.4
0.9995503508649675,0.000337486934174569,0.00011219594955134138,0.9999100499484962,1.5
0.9993931916894928,0.00045530603396304326,0.00015154780714754114,0.9998786015013634,1.6
0.9991811629941446,0.0006142603164361882,0.00020463811545087506,0.9998361655128005,1.7
0.9988951572142437,0.0008286642336553518,0.0002762614185243302,0.9997789092851056,1.8
0.9985094531776664,0.0011177793797381153,0.0003728792205334462,0.9997016682415304,1.9
0.9979894600011211,0.0015074958816284623,0.0005031948668386502,0.9995974872304874,2.0
0.9972887183967963,0.002032562053606468,0.0006789228058026048,0.9994570072431409,2.1
0.9963449371679316,0.002739521998114225,0.0009158147861540122,0.9992676482208888,2.2
0.9950747946993739,0.0036905512898831594,0.001235023065871995,0.9990125251806852,2.3
0.9933671934012483,0.00496840250650199,0.0016649009325003258,0.9986690197169874,2.4
0.9910746381321244,0.006682668020019267,0.0022433621146583306,0.9982069136975306,2.5
0.9880024536764226,0.00897750511692541,0.0030209389571636642,0.9975859804481615,2.6
0.9838957256443137,0.01204079225200494,0.004064686182906582,0.9967529285162495,2.7
0.9784242501500127,0.016114304208945773,0.005463057071462503,0.9956376181201707,2.8
0.9711665713692847,0.02150377388656244,0.007331805121541486,0.9941485441612351,2.9
0.9615955844830298,0.02858647965789063,0.009820794507045282,0.9921677385888985,3.0
0.9490703928629068,0.03781211043233934,0.01312127791579704,0.9895455385414299,3.1
0.9328421682203827,0.049690146943713875,0.0174726538505978,0.9860961483320981,3.2
0.9120851669981925,0.06475440285947265,0.023166905582620783,0.9815956183197077,3.3
0.8859661778810933,0.08349426130874205,0.030547910236295484,0.9757846993890391,3.4
0.8537632313754216,0.10624551759455836,0.040001875581779416,0.9683797259466969,3.5
