lambda,rho,S,I,R,mu
0.0,4,0.99899999999999,2.0406311867621168e-12,0.0009999999979593748,5.003998667746947
0.1,4,0.9988912303056727,2.3242895563702032e-12,0.0011087696919946152,5.004346200913067
0.2,4,0.9987617415865242,2.678881574880368e-12,0.001238258410788155,5.004759836624125
0.3,4,0.9986049958615819,3.1347977308477584e-12,0.0013950041352713812,5.005260416913823
0.4,4,0.9984113812868065,3.74267917179304e-12,0.0015886187094416129,5.005878571532749
0.5,4,0.99816616596864,4.593647115891459e-12,0.0018338340267530847,5.006661224636939
0.6,4,0.9978455675656018,5.869812340315927e-12,0.002154432428512753,5.007684083411312
0.7,4,0.9974085502131991,7.995427377225375e-12,0.002591449778786254,5.0090776764267675
0.8,4,0.996777743095127,1.2238142281440251e-11,0.0032222568926135683,5.011087838295293
0.9,4,0.995787945468067,2.4841254364804456e-11,0.004212054507061892,5.014238610871974
1.0,4,0.9940132201692278,1.9100692696431368e-10,0.005986779639762975,5.019877461216137
1.1,4,0.9899332214027878,6.308960425172896e-08,0.010066715507609843,5.032787713076968
1.2,4,0.9726228286589444,5.8043772668047396e-05,0.027319127568391798,5.086676527372335
1.3,4,0.8328052321328331,0.0008306836948161364,0.1663640841723524,5.468366668713412
1.4,4,0.6574205304868334,1.921415330057794e-06,0.3425775480978281,5.808307621440771
1.5,4,0.5322559259924199,1.1170963045712325e-07,0.46774396229794735,5.9530014723851945
1.6,4,0.44104673744822154,4.1510064770244063e-08,0.5589532210416917,6.004459291134891
1.7,4,0.37247080843146674,2.3923988158011008e-08,0.6275291676445379,6.011064504871884
1.8,4,0.31944924982874184,1.665309258392515e-08,0.6805507335181591,5.995717550879797
1.9,4,0.277498679496724,1.2837213672929593e-08,0.7225013076660581,5.969731798942196
2.0,4,0.24367390745071948,1.0533308802107284e-08,0.7563260820159668,5.9389325773607595
2.1,4,0.2159683286181234,9.008336141231817e-09,0.7840316623735458,5.906406752527499
2.2,4,0.19297049516420778,7.931483412347628e-09,0.8070294969043101,5.873811148230074
2.3,4,0.17366034662918867,7.13381741696705e-09,0.8263396462369936,5.842028490207247
2.4,4,0.15728358144280538,6.520879254059456e-09,0.8427164120363193,5.811511273755183
2.5,4,0.14327140131487703,6.036051804167594e-09,0.8567285926490676,5.7824687959985415
2.6,4,0.13118760088362008,5.643482917753971e-09,0.8688123934728947,5.754971949347916
2.7,4,0.1206927123104475,5.319435789619995e-09,0.8793072823701176,5.729013315494841
2.8,4,0.11151911743922262,5.047605633005758e-09,0.8884808775131698,5.704542221254831
2.9,4,0.10345340632673623,4.816440990312459e-09,0.8965465888568201,5.681485413981259
3.0,4,0.09632363922322172,4.61753966475301e-09,0.9036763561592366,5.659759306739294
3.1,4,0.08998999743959094,4.4446499620834845e-09,0.9100099981157539,5.639277200308439
3.2,4,0.08433782071857117,4.293027602653232e-09,0.9156621749884021,5.619953475490031
3.3,4,0.07927235361472534,4.159009385206042e-09,0.9207276422262692,5.6017059436159
3.4,4,0.07471473426907953,4.039723216003382e-09,0.9252852616911947,5.584457073969613
3.5,4,0.07059889871283845,3.932886368195826e-09,0.9294010973542706,5.568134538323892
3.6,4,0.06686916819545634,3.836662264692431e-09,0.9331308279678714,5.552671344731088
3.7,4,0.06347835183749491,3.749556951804877e-09,0.9365216444129477,5.538005729837433
3.8,4,0.06038624210761888,3.6703430339873725e-09,0.939613754222044,5.524080915276154
3.9,4,0.05755841259495164,3.598002954029417e-09,0.9424415838070405,5.510844793841988
4.0,4,0.054965250457329286,3.5316861264883227e-09,0.9450347460109819,5.498249586036644
4.1,4,0.05258117253768058,3.4706761406451517e-09,0.9474188239916475,5.486251491669801
4.2,4,0.05038398631855586,3.414365383462847e-09,0.9496160102670798,5.4748103511035335
4.3,4,0.04835436590333362,3.3622351992958748e-09,0.9516456307344319,5.463889324324812
4.4,4,0.04647541995462933,3.313840229217221e-09,0.9535245767315302,5.453454591992776
4.5,4,0.044732333605023766,3.26879593946136e-09,0.9552676631261798,5.443475080087167
4.6,4,0.043112070221477575,3.2267686075109737e-09,0.9568879265517607,5.433922208244462
4.7,4,0.04160312186733691,3.1874672197100426e-09,0.9583968749452024,5.4247696609559615
4.8,4,0.04019529959228778,3.1506368685002695e-09,0.9598046972570666,5.41599318029718
4.9,4,0.038879556457412076,3.1160533356430025e-09,0.9611204404265249,5.4075703786068425
5.0,4,0.037647837592051765,3.0835186204798216e-09,0.9623521593244261,5.399480569446614
5.1,4,0.036492952672544106,3.0528572265798683e-09,0.9635070442746029,5.391704615182969
5.2,4,0.035408467078141,3.0239130610453893e-09,0.9645915298979398,5.384224789601533
5.3,4,0.034388608667916154,2.9965468318586782e-09,0.9656113883355337,5.3770246540652975
5.4,4,0.03342818767312541,2.9706338524940878e-09,0.9665718093562454,5.370088945844237
5.5,4,0.032522527642121976,2.946062181426754e-09,0.9674774694118105,5.363403477363757
5.6,4,0.031667405732403765,2.922731038488691e-09,0.96833259134486,5.356955045239589
5.7,4,0.030859000934343263,2.9005494512319607e-09,0.9691409961651117,5.350731348077869
5.8,4,0.030093849047429507,2.8794350932926813e-09,0.9699061480731248,5.344720912126251
5.9,4,0.029368803423123167,2.8593132837563354e-09,0.9706311937175729,5.338913023957683
6.0,4,0.028681000647191184,2.8401161221084466e-09,0.9713189965126958,5.333297669455876
6.1,4,0.028027830465257905,2.8217817378363785e-09,0.9719721667129592,5.32786547845162
6.2,4,0.027406909363610014,2.804253637358585e-09,0.9725930878321426,5.322607674429677
6.3,4,0.026816057307219303,2.7874801338819875e-09,0.9731839399053009,5.317516028789127
6.4,4,0.026253277211861496,2.7714138481731266e-09,0.9737467200167289,5.312582819196415
6.5,4,0.025716736789840152,2.756011270171556e-09,0.9742832604541476,5.307800791621579
6.6,4,0.025204752461319115,2.741232372980736e-09,0.9747952447974604,5.303163125691125
6.7,4,0.024715775067438904,2.7270402720833833e-09,0.975284222205523,5.298663403031715
6.8,4,0.02424837715862096,2.7134009237281255e-09,0.9757516201279783,5.294295578313224
6.9,4,0.02380124166298063,2.70028285733861e-09,0.9761987556367244,5.290053952731688
7.0,4,0.023373151766476665,2.687656937555836e-09,0.9766268455458613,5.2859331496982485
7.1,4,0.02296298185915266,2.675496152160162e-09,0.9770370154653437,5.281928092527452
7.2,4,0.022569689421189608,2.6637754226502386e-09,0.9774303079150325,5.278033983937324
7.3,4,0.022192307739045406,2.6524714347096765e-09,0.9778076896084762,5.274246287194096
7.4,4,0.02182993935613633,2.6415624861693277e-09,0.9781700580023002,5.270560708752104
7.5,4,0.021481750174694298,2.631028350397111e-09,0.9785182471942725,5.266973182253011
7.6,4,0.021146964135910423,2.6208501533221693e-09,0.9788530332432399,5.263479853763711
7.7,4,0.020824858414516523,2.611010262533457e-09,0.9791751389744716,5.260077068142842
7.8,4,0.020514759071764387,2.601492187094073e-09,0.9794852383267469,5.2567613564382984
7.9,4,0.0202160371175317,2.592280486883415e-09,0.9797839602901891,5.2535294242255315
8.0,4,0.01992810493815602,2.5833606904288254e-09,0.9800718924784795,5.250378140807276
8.1,4,0.019650413051694734,2.5747192203141357e-09,0.980349584373594,5.247304529201393
8.2,4,0.01938244715677084,2.56634332536352e-09,0.9806175502768834,5.2443057568512685
8.3,4,0.019123725445032682,2.558221018894361e-09,0.9808762719967463,5.241379126998672
